date,grid_id
2023-07-09,CA5K_11558
2023-07-08,CA5K_06042
2023-07-14,CA5K_04541
2023-07-04,CA5K_12961
2023-07-07,CA5K_06356
2023-07-04,CA5K_11572
2023-07-14,CA5K_04850
2023-07-28,CA5K_07225
2023-07-01,CA5K_16745
2023-07-30,CA5K_08061
2023-07-11,CA5K_09720
2023-07-19,CA5K_13796
2023-07-01,CA5K_11467
2023-07-14,CA5K_11647
2023-07-07,CA5K_05908
2023-07-08,CA5K_14357
2023-07-13,CA5K_13538
2023-07-05,CA5K_01258
2023-07-01,CA5K_12882
2023-07-14,CA5K_12964
2023-07-01,CA5K_11910
2023-07-24,CA5K_13150
2023-07-27,CA5K_01904
2023-07-08,CA5K_10350
2023-07-23,CA5K_13342
2023-07-14,CA5K_02588
2023-07-01,CA5K_03780
2023-07-29,CA5K_13439
2023-07-22,CA5K_04190
2023-07-14,CA5K_00347
2023-07-04,CA5K_11663
2023-07-13,CA5K_14690
2023-07-30,CA5K_11749
2023-07-28,CA5K_11999
2023-07-04,CA5K_07040
2023-07-02,CA5K_08062
2023-07-01,CA5K_06887
2023-07-27,CA5K_11186
2023-07-08,CA5K_11469
2023-07-27,CA5K_09227
2023-07-07,CA5K_11733
2023-07-06,CA5K_05605
2023-07-20,CA5K_03176
2023-07-31,CA5K_14689
2023-07-07,CA5K_11575
2023-07-15,CA5K_04463
2023-07-07,CA5K_11194
2023-07-05,CA5K_13055
2023-07-28,CA5K_13150
2023-07-26,CA5K_05135
2023-07-06,CA5K_04598
2023-07-19,CA5K_09018
2023-07-31,CA5K_12177
2023-07-07,CA5K_11469
2023-07-04,CA5K_11284
2023-07-07,CA5K_11557
2023-07-12,CA5K_07198
2023-07-14,CA5K_08920
2023-07-27,CA5K_14151
2023-07-14,CA5K_13345
2023-07-02,CA5K_02994
2023-07-25,CA5K_11098
2023-07-13,CA5K_11912
2023-07-12,CA5K_11396
2023-07-05,CA5K_13632
2023-07-29,CA5K_13053
2023-07-19,CA5K_13055
2023-07-12,CA5K_11475
2023-07-01,CA5K_11187
2023-07-11,CA5K_11559
2023-07-14,CA5K_09815
2023-07-22,CA5K_01009
2023-07-11,CA5K_05911
2023-07-11,CA5K_11575
2023-07-04,CA5K_03140
2023-07-16,CA5K_13152
2023-07-04,CA5K_10802
2023-07-13,CA5K_13056
2023-07-05,CA5K_14690
2023-07-14,CA5K_02472
2023-07-04,CA5K_13053
2023-07-14,CA5K_13443
2023-07-10,CA5K_13795
2023-07-16,CA5K_11557
2023-07-02,CA5K_13150
2023-07-04,CA5K_06082
2023-07-23,CA5K_06225
2023-07-17,CA5K_13632
2023-07-04,CA5K_11558
2023-07-17,CA5K_07385
2023-07-07,CA5K_14690
2023-07-04,CA5K_11573
2023-07-31,CA5K_11826
2023-07-14,CA5K_01056
2023-07-29,CA5K_11284
2023-07-14,CA5K_11558
2023-07-26,CA5K_14770
2023-07-27,CA5K_11736
2023-07-18,CA5K_12612
2023-07-13,CA5K_13055
2023-07-01,CA5K_11485
2023-07-08,CA5K_08936
2023-07-15,CA5K_03312
2023-07-27,CA5K_11912
2023-07-09,CA5K_11284
2023-07-26,CA5K_04595
2023-07-13,CA5K_12179
2023-07-03,CA5K_10476
2023-07-29,CA5K_06156
2023-07-05,CA5K_02385
2023-07-26,CA5K_02687
2023-07-04,CA5K_04450
2023-07-17,CA5K_05496
2023-07-11,CA5K_12265
2023-07-04,CA5K_04190
2023-07-21,CA5K_13150
2023-07-29,CA5K_03744
2023-07-20,CA5K_03325
2023-07-01,CA5K_11575
2023-07-22,CA5K_00298
2023-07-10,CA5K_11914
2023-07-18,CA5K_03923
2023-07-27,CA5K_02473
2023-07-07,CA5K_02108
2023-07-09,CA5K_13626
2023-07-28,CA5K_10209
2023-07-26,CA5K_09520
2023-07-29,CA5K_12958
2023-07-04,CA5K_05483
2023-07-11,CA5K_01168
2023-07-21,CA5K_13726
2023-07-03,CA5K_03731
2023-07-17,CA5K_07194
2023-07-05,CA5K_09520
2023-07-03,CA5K_02693
2023-07-20,CA5K_11558
