OBJECTID,SourceOID,ABCDMisc,ADSPermissionState,ContainmentDateTime,ControlDateTime,CreatedBySystem,IncidentSize,DiscoveryAcres,DispatchCenterID,EstimatedCostToDate,FinalAcres,FinalFireReportApprovedByTitle,FinalFireReportApprovedByUnit,FinalFireReportApprovedDate,FireBehaviorGeneral,FireBehaviorGeneral1,FireBehaviorGeneral2,FireBehaviorGeneral3,FireCause,FireCauseGeneral,FireCauseSpecific,FireCode,FireDepartmentID,FireDiscoveryDateTime,FireMgmtComplexity,FireOutDateTime,FireStrategyConfinePercent,FireStrategyFullSuppPercent,FireStrategyMonitorPercent,FireStrategyPointZonePercent,FSJobCode,FSOverrideCode,GACC,ICS209ReportDateTime,ICS209ReportForTimePeriodFrom,ICS209ReportForTimePeriodTo,ICS209ReportStatus,IncidentManagementOrganization,IncidentName,IncidentShortDescription,IncidentTypeCategory,IncidentTypeKind,InitialLatitude,InitialLongitude,InitialResponseAcres,InitialResponseDateTime,IrwinID,IsFireCauseInvestigated,IsFireCodeRequested,IsFSAssisted,IsMultiJurisdictional,IsQuarantined,IsReimbursable,IsTrespass,IsUnifiedCommand,IsValid,LocalIncidentIdentifier,PercentContained,PercentPerimeterToBeContained,POOCity,POOCounty,POODispatchCenterID,POOFips,POOJurisdictionalAgency,POOJurisdictionalUnit,POOJurisdictionalUnitParentUnit,POOLandownerCategory,POOLandownerKind,POOLegalDescPrincipalMeridian,POOLegalDescQtr,POOLegalDescQtrQtr,POOLegalDescRange,POOLegalDescSection,POOLegalDescTownship,POOPredictiveServiceAreaID,POOProtectingAgency,POOProtectingUnit,POOState,PredominantFuelGroup,PredominantFuelModel,PrimaryFuelModel,SecondaryFuelModel,TotalIncidentPersonnel,UniqueFireIdentifier,WFDSSDecisionStatus,EstimatedFinalCost,OrganizationalAssessment,StrategicDecisionPublishDate,CreatedOnDateTime_dt,ModifiedOnDateTime_dt,IsCpxChild,CpxName,CpxID,SourceGlobalID,GlobalID,IncidentComplexityLevel
317767,28038092,,DEFAULT,,,lacocad,,0.01,CALACC,,,,,,,,,,Undetermined,,,,,7/1/2023 12:01:11 AM,,,,,,,,,OSCC,,,,,,LAC-217039,,WF,FI,34.59462,-118.04066,,,{25E44435-E5BA-4177-A44C-FDF058A4A150},,0,,,0,,,,1,217039,,,,Los Angeles,CALACC,06037,,,,Private,Private,,,,,,,SC15,C&L,CALAC,US-CA,,,,,,2023-CALAC-217039,No Decision,,,,7/1/2023 12:04:52 AM,7/1/2023 12:04:52 AM,0,,,{109E3832-B388-4CD8-935B-CCA3CCEF5999},ded460a8-2423-4d50-aeb2-e4db56f59d9d,
317771,28038094,,DEFAULT,7/1/2023 12:52:38 AM,7/1/2023 12:52:43 AM,cfcad,0.05,0.01,CAGVCC,,0.05,,,,,,,,Undetermined,,,,,7/1/2023 12:09:30 AM,,,,,,,,,ONCC,,,,,,RIOSA,,WF,FI,38.979035,-121.382584,,,{EE7E6843-457C-47AA-85C5-33F660881EBB},,0,0.0,0.0,0,0.0,0.0,,1,018344,,,,Placer,CAGVCC,06061,,,,Private,Private,,,,,,,NC05,CAL FIRE,CANEU,US-CA,,,,,,2023-CANEU-018344,No Decision,,,,7/1/2023 12:31:55 AM,7/1/2023 12:53:38 AM,0,,,{8AB63A4F-F16D-4596-BB93-F19991879030},3e208cc9-b593-488f-88b4-dfefa82da62f,
317772,28038095,,DEFAULT,7/1/2023 1:59:00 AM,7/1/2023 2:39:00 AM,cfcad,0.01,0.01,CASDIC,,0.01,,,,,,,,Undetermined,,,,,7/1/2023 12:32:04 AM,,,,,,,,,OSCC,,,,,,BORDER 17,,WF,FI,32.58433,-116.847709,,,{3851D812-F0A5-4B53-B10E-704B575C1A5A},,0,,,0,,,,1,015422,,,,San Diego,CASDIC,06073,BLM,CACDD,,BLM,Federal,,,,,,,SC08,CAL FIRE,CASDU,US-CA,,,,,,2023-CASDU-015422,No Decision,,,,7/1/2023 12:32:41 AM,7/1/2023 3:35:59 AM,0,,,{4F8238B0-2E72-4143-9322-7692CCE73DE8},c11badb9-d1b6-4f7c-8dbc-a2ac17b523fd,
317775,28038098,,DEFAULT,7/1/2023 1:15:41 AM,7/1/2023 1:44:13 AM,cfcad,0.01,0.01,CASLCC,,0.01,,,,,,,,Undetermined,,,,,7/1/2023 1:04:30 AM,,,,,,,,,OSCC,,,,,,VALLEY,,WF,FI,35.684204,-120.602477,,,{33BAA361-2DE4-44F4-9B40-6AF7E73D2EC4},,0,0.0,0.0,0,0.0,0.0,,1,010010,,,,San Luis Obispo,CASLCC,06079,,,,Private,Private,,,,,,,SC06,CAL FIRE,CASLU,US-CA,,,,,,2023-CASLU-010010,No Decision,,,,7/1/2023 1:15:47 AM,7/1/2023 1:44:33 AM,0,,,{FDC9F140-BF6F-417A-B5BF-75D995211841},01c22501-97b1-4e31-921c-c0b080ba8037,
317776,28038099,,DEFAULT,7/1/2023 1:29:00 AM,,cfcad,0.06,0.01,CARRCC,,,,,,,,,,Undetermined,,,,,7/1/2023 1:19:07 AM,,,,,,,,,OSCC,,,,,,GORGONIO,,WF,FI,33.921725,-116.876692,,,{EF74FC62-8D9A-4AA7-B0C4-BF749EA7804B},,0,0.0,0.0,0,0.0,0.0,,1,094901,,,,Riverside,CARRCC,06065,,,,Private,Private,,,,,,,SC08,CAL FIRE,CARRU,US-CA,,,,,,2023-CARRU-094901,No Decision,,,,7/1/2023 1:28:09 AM,7/1/2023 2:11:15 AM,0,,,{1072289A-550F-486E-8076-DC2DE6106E30},d2f69e79-d999-4303-ba27-edd37e6ede8f,
317777,28038100,,DEFAULT,7/1/2023 1:29:53 AM,7/1/2023 2:57:45 AM,cfcad,1.04,0.01,CAMMCC,,1.04,,,,,,,,Undetermined,,,,,7/1/2023 12:19:01 AM,,,,,,,,,OSCC,,,,,,REYNOLDS AV  DOS_PALOS,,WF,FI,36.970248,-120.644736,,,{3086297D-FC81-4718-88B9-58DF0DF65388},,0,0.0,0.0,0,0.0,0.0,,1,014193,,,,Merced,CAMMCC,06047,,,,Private,Private,,,,,,,SC05,CAL FIRE,CAMMU,US-CA,,,,,,2023-CAMMU-014193,No Decision,,,,7/1/2023 1:29:58 AM,7/1/2023 5:56:02 AM,0,,,{6BCC75AA-FB9B-40C7-B01D-AF4A431A355E},35d46716-c229-45fe-8ab0-c83f5aa00a85,
317778,28038101,,DEFAULT,7/1/2023 2:08:00 AM,7/1/2023 2:08:00 AM,cfcad,0.1,0.01,CABDCC,,0.1,,,,,,,,Undetermined,,,,,7/1/2023 12:43:17 AM,,,,,,,,,OSCC,,,,,,NUGGET,,WF,FI,34.433617,-117.585707,,,{3DFBB640-467A-42F8-9334-E566BB5A80FE},,0,0.0,0.0,0,0.0,0.0,,1,008828,,,,San Bernardino,CASBCC,06071,,,,Private,Private,,,,,,,SC15,CAL FIRE,CABDU,US-CA,,,,,,2023-CABDU-008828,No Decision,,,,7/1/2023 2:08:24 AM,7/1/2023 2:08:33 AM,0,,,{F409C61D-314A-484E-A458-7206D11445F6},2bb679ac-010a-4453-9d84-86aaf4703b56,
317779,28038102,,DEFAULT,,,lacocad,,0.01,CALACC,,,,,,,,,,Undetermined,,,,,7/1/2023 2:15:01 AM,,,,,,,,,OSCC,,,,,,LAC-217109,,WF,FI,33.92208,-118.09918,,,{26825E27-B44D-4650-8807-8CD8DEF04662},,0,,,0,,,,1,217109,,,,Los Angeles,CALACC,06037,,,,Private,Private,,,,,,,SC08,C&L,CALAC,US-CA,,,,,,2023-CALAC-217109,No Decision,,,,7/1/2023 2:24:52 AM,7/1/2023 2:24:52 AM,0,,,{C4072DBD-DC26-4D05-BE7D-FFD2796FE31A},dcd92b80-6b36-4467-bf18-0d59459f3dff,
317783,28038106,,DEFAULT,,,IROC,,,CAORCC,,,,,,,,,,,,,,,7/1/2023 2:19:00 AM,,,,,,,,,OSCC,,,,,,NICHOLS,,WF,FI,,,,,{F0252C83-77D2-482F-983C-E3F70B4063EA},,0,,,0,,,,1,087099,,,,Orange,CAORCC,06059,,,,Private,Private,,,,,,,SC08,CAL FIRE,CAORC,US-CA,,,,,,2023-CAORC-087099,No Decision,,,,7/1/2023 2:52:37 AM,7/1/2023 2:54:17 AM,0,,,{A1B50E1A-5ACB-4738-A7DC-6D7AF7B5A975},f96916ed-cfc2-4730-9726-d11c210ec569,
317784,28038107,,DEFAULT,7/1/2023 3:01:21 AM,7/1/2023 3:18:26 AM,cfcad,0.25,0.01,CAFKCC,,0.25,,,,,,,,Undetermined,,,,,7/1/2023 2:46:32 AM,,,,,,,,,OSCC,,,,,,WOLF,,WF,FI,36.764756,-119.646007,,,{C29D59FE-E786-4630-9497-9FC4366C0DE3},,0,0.0,0.0,0,0.0,0.0,,1,012901,,,,Fresno,CASICC,06019,,,,Private,Private,,,,,,,SC05,CAL FIRE,CAFKU,US-CA,,,,,,2023-CAFKU-012901,No Decision,,,,7/1/2023 2:59:36 AM,7/1/2023 3:18:36 AM,0,,,{6B441584-767B-4538-AB83-73199E74F559},1d46f76d-68a9-4803-9377-bac0202dd864,
