date,grid_id
2023-07-09,CA5K_11558
2023-08-05,CA5K_13734
2023-09-13,CA5K_14607
2023-07-08,CA5K_06042
2023-07-14,CA5K_04541
2023-09-28,CA5K_13811
2023-07-04,CA5K_12961
2023-07-07,CA5K_06356
2023-07-04,CA5K_11572
2023-07-14,CA5K_04850
2023-07-28,CA5K_07225
2023-10-01,CA5K_13629
2023-09-06,CA5K_09223
2023-07-01,CA5K_16745
2023-08-10,CA5K_02501
2023-09-21,CA5K_08713
2023-09-10,CA5K_11704
2023-09-02,CA5K_00099
2023-09-03,CA5K_13327
2023-09-16,CA5K_11736
2023-07-30,CA5K_08061
2023-08-31,CA5K_02202
2023-09-01,CA5K_14171
2023-09-27,CA5K_08658
2023-08-15,CA5K_05193
2023-09-08,CA5K_04260
2023-08-12,CA5K_13243
2023-07-11,CA5K_09720
2023-08-20,CA5K_07085
2023-07-19,CA5K_13796
2023-09-17,CA5K_13341
2023-09-09,CA5K_09038
2023-07-01,CA5K_11467
2023-09-14,CA5K_11824
2023-07-14,CA5K_11647
2023-07-07,CA5K_05908
2023-07-08,CA5K_14357
2023-08-16,CA5K_10753
2023-07-13,CA5K_13538
2023-07-05,CA5K_01258
2023-07-01,CA5K_12882
2023-08-10,CA5K_10442
2023-07-14,CA5K_12964
2023-09-15,CA5K_13726
2023-09-06,CA5K_14690
2023-07-01,CA5K_11910
2023-07-24,CA5K_13150
2023-07-27,CA5K_01904
2023-07-08,CA5K_10350
2023-09-23,CA5K_15005
2023-10-01,CA5K_13347
2023-09-09,CA5K_11284
2023-09-04,CA5K_00349
2023-09-19,CA5K_05836
2023-08-13,CA5K_11560
2023-09-25,CA5K_05904
2023-08-02,CA5K_11375
2023-07-23,CA5K_13342
2023-07-14,CA5K_02588
2023-09-14,CA5K_13055
2023-07-01,CA5K_03780
2023-07-29,CA5K_13439
2023-07-22,CA5K_04190
2023-07-14,CA5K_00347
2023-07-04,CA5K_11663
2023-09-23,CA5K_13150
2023-09-16,CA5K_01402
2023-07-13,CA5K_14690
2023-09-01,CA5K_11558
2023-08-13,CA5K_10814
2023-07-30,CA5K_11749
2023-07-28,CA5K_11999
2023-09-17,CA5K_04740
2023-07-04,CA5K_07040
2023-09-25,CA5K_05318
2023-09-10,CA5K_04053
2023-09-08,CA5K_13653
2023-07-02,CA5K_08062
2023-09-10,CA5K_13629
2023-09-15,CA5K_11558
2023-08-19,CA5K_12962
2023-09-18,CA5K_01458
2023-07-01,CA5K_06887
2023-07-27,CA5K_11186
2023-09-19,CA5K_05931
2023-07-08,CA5K_11469
2023-09-23,CA5K_00137
2023-07-27,CA5K_09227
2023-07-07,CA5K_11733
2023-09-24,CA5K_11575
2023-09-30,CA5K_13819
2023-08-09,CA5K_11570
2023-09-10,CA5K_11645
2023-09-29,CA5K_11575
2023-07-06,CA5K_05605
2023-09-05,CA5K_06236
2023-07-20,CA5K_03176
2023-07-31,CA5K_14689
2023-07-07,CA5K_11575
2023-07-15,CA5K_04463
2023-09-05,CA5K_00227
2023-07-07,CA5K_11194
2023-09-09,CA5K_06052
2023-07-05,CA5K_13055
2023-08-26,CA5K_01010
2023-08-12,CA5K_02067
2023-08-04,CA5K_05890
2023-07-28,CA5K_13150
2023-08-25,CA5K_10902
2023-08-07,CA5K_08817
2023-08-17,CA5K_13434
2023-09-03,CA5K_11557
2023-07-26,CA5K_05135
2023-07-06,CA5K_04598
2023-07-19,CA5K_09018
2023-08-29,CA5K_00589
2023-09-18,CA5K_11284
2023-07-31,CA5K_12177
2023-08-15,CA5K_04088
2023-07-07,CA5K_11469
2023-07-04,CA5K_11284
2023-09-02,CA5K_13341
2023-08-16,CA5K_05849
2023-09-12,CA5K_05906
2023-09-07,CA5K_00270
2023-07-07,CA5K_11557
2023-07-12,CA5K_07198
2023-08-07,CA5K_02687
2023-09-23,CA5K_07021
2023-07-14,CA5K_08920
2023-07-27,CA5K_14151
2023-09-30,CA5K_10190
2023-07-14,CA5K_13345
2023-07-02,CA5K_02994
2023-07-25,CA5K_11098
2023-07-13,CA5K_11912
2023-08-09,CA5K_05189
2023-07-12,CA5K_11396
2023-07-05,CA5K_13632
2023-08-17,CA5K_09342
2023-07-29,CA5K_13053
2023-09-08,CA5K_04060
2023-07-19,CA5K_13055
2023-08-23,CA5K_07381
2023-09-18,CA5K_11284
2023-07-12,CA5K_11475
2023-09-04,CA5K_13247
2023-07-01,CA5K_11187
2023-07-11,CA5K_11559
2023-07-14,CA5K_09815
2023-08-15,CA5K_01502
2023-07-22,CA5K_01009
2023-08-13,CA5K_08537
2023-07-11,CA5K_05911
2023-09-13,CA5K_08853
2023-07-11,CA5K_11575
2023-08-09,CA5K_11557
2023-07-04,CA5K_03140
2023-08-15,CA5K_00188
2023-07-16,CA5K_13152
2023-09-25,CA5K_11283
2023-09-12,CA5K_08646
2023-07-04,CA5K_10802
2023-07-13,CA5K_13056
2023-07-05,CA5K_14690
2023-09-03,CA5K_04451
2023-07-14,CA5K_02472
2023-07-04,CA5K_13053
2023-08-16,CA5K_01184
2023-07-14,CA5K_13443
2023-09-10,CA5K_08260
2023-09-16,CA5K_13050
2023-08-04,CA5K_02045
2023-07-10,CA5K_13795
2023-07-16,CA5K_11557
2023-08-02,CA5K_13152
2023-07-02,CA5K_13150
2023-08-21,CA5K_03744
2023-08-16,CA5K_00578
2023-09-18,CA5K_06150
2023-08-09,CA5K_10107
2023-07-04,CA5K_06082
2023-07-23,CA5K_06225
2023-09-11,CA5K_07548
2023-07-17,CA5K_13632
2023-09-09,CA5K_06881
2023-08-19,CA5K_00570
2023-08-06,CA5K_00198
2023-09-11,CA5K_08245
2023-07-04,CA5K_11558
2023-07-17,CA5K_07385
2023-09-29,CA5K_13616
2023-07-07,CA5K_14690
2023-08-18,CA5K_01296
2023-07-04,CA5K_11573
2023-07-31,CA5K_11826
2023-07-14,CA5K_01056
2023-07-29,CA5K_11284
2023-08-29,CA5K_02579
2023-09-17,CA5K_10103
2023-07-14,CA5K_11558
2023-07-26,CA5K_14770
2023-07-27,CA5K_11736
2023-08-17,CA5K_04209
2023-07-18,CA5K_12612
2023-07-13,CA5K_13055
2023-07-01,CA5K_11485
2023-07-08,CA5K_08936
2023-07-15,CA5K_03312
2023-07-27,CA5K_11912
2023-07-09,CA5K_11284
2023-08-30,CA5K_14850
2023-08-20,CA5K_08077
2023-07-26,CA5K_04595
2023-07-13,CA5K_12179
2023-07-03,CA5K_10476
2023-07-29,CA5K_06156
2023-08-03,CA5K_11914
2023-09-11,CA5K_07914
2023-08-14,CA5K_06746
2023-08-05,CA5K_15975
2023-07-05,CA5K_02385
2023-07-26,CA5K_02687
2023-07-04,CA5K_04450
2023-09-12,CA5K_12521
2023-07-17,CA5K_05496
2023-07-11,CA5K_12265
2023-07-04,CA5K_04190
2023-07-21,CA5K_13150
2023-07-29,CA5K_03744
2023-07-20,CA5K_03325
2023-07-01,CA5K_11575
2023-08-19,CA5K_04739
2023-07-22,CA5K_00298
2023-08-21,CA5K_00976
2023-09-20,CA5K_06208
2023-07-10,CA5K_11914
2023-08-30,CA5K_11825
2023-08-05,CA5K_12266
2023-07-18,CA5K_03923
2023-08-23,CA5K_08509
2023-07-27,CA5K_02473
2023-07-07,CA5K_02108
2023-07-09,CA5K_13626
2023-07-28,CA5K_10209
2023-09-25,CA5K_11485
2023-08-16,CA5K_04349
2023-07-26,CA5K_09520
2023-07-29,CA5K_12958
2023-07-04,CA5K_05483
2023-09-15,CA5K_06699
2023-08-17,CA5K_08962
2023-07-11,CA5K_01168
2023-07-21,CA5K_13726
2023-07-03,CA5K_03731
2023-07-17,CA5K_07194
2023-07-05,CA5K_09520
2023-07-03,CA5K_02693
2023-07-20,CA5K_11558
2023-07-30,CA5K_15005
2023-09-27,CA5K_02616
2023-07-31,CA5K_14689
2023-09-12,CA5K_11284
2023-08-10,CA5K_02784
2023-08-26,CA5K_13149
2023-08-26,CA5K_05890
2023-07-31,CA5K_12611
2023-07-11,CA5K_13050
2023-07-30,CA5K_08832
2023-08-06,CA5K_02876
2023-07-04,CA5K_04541
2023-09-28,CA5K_07380
2023-07-02,CA5K_05905
2023-08-30,CA5K_01145
2023-09-05,CA5K_05178
2023-08-16,CA5K_00279
2023-08-18,CA5K_03575
2023-07-19,CA5K_11469
2023-07-10,CA5K_11748
2023-08-31,CA5K_04190
2023-08-13,CA5K_13150
2023-07-16,CA5K_11574
2023-07-20,CA5K_14770
2023-09-23,CA5K_11558
2023-08-03,CA5K_15005
2023-08-17,CA5K_02450
2023-07-02,CA5K_13629
2023-09-29,CA5K_03654
2023-07-14,CA5K_03731
2023-08-15,CA5K_04227
2023-07-04,CA5K_07210
2023-07-15,CA5K_13153
2023-07-26,CA5K_07935
2023-09-03,CA5K_05424
2023-08-10,CA5K_10102
2023-07-04,CA5K_11826
2023-07-19,CA5K_02601
2023-07-18,CA5K_16848
2023-09-23,CA5K_00105
2023-07-25,CA5K_02594
2023-07-15,CA5K_01481
2023-07-30,CA5K_05473
2023-07-05,CA5K_11836
2023-07-29,CA5K_03863
2023-07-27,CA5K_07380
2023-07-05,CA5K_15005
2023-08-20,CA5K_14356
2023-09-01,CA5K_12698
2023-07-09,CA5K_02698
2023-07-05,CA5K_04053
2023-08-19,CA5K_07567
2023-09-10,CA5K_05582
2023-09-20,CA5K_11378
2023-07-24,CA5K_11660
2023-07-13,CA5K_11378
2023-07-27,CA5K_11652
2023-08-22,CA5K_02526
2023-08-09,CA5K_05613
2023-07-04,CA5K_08061
2023-09-09,CA5K_01160
2023-07-21,CA5K_04186
2023-08-15,CA5K_05615
2023-07-17,CA5K_11574
2023-08-13,CA5K_12871
2023-07-14,CA5K_12876
