,0
fires_last_7d,0.7614629
pct_90,0.0386688
fires_last_14d,0.028949205
pct_21,0.02151405
pct_23,0.018185036
pct_22,0.013753711
WS10M_3d_max,0.012386154
RH2M_3d_min,0.011378668
pct_42,0.011206972
pct_31,0.010078495
WS10M,0.009821311
pct_41,0.007815905
pct_71,0.007050859
PRECTOT_7d_sum,0.0065824385
PS,0.0064359875
T2M,0.0064153746
pct_52,0.006139854
RH2M,0.005862633
T2M_3d_mean,0.0051384103
ndvi_7d_mean,0.0041850205
PRECTOTCORR,0.0037555208
ndvi,0.0032126217
pct_24,0.0
pct_11,0.0
pct_12,0.0
pct_82,0.0
pct_81,0.0
pct_43,0.0
pct_95,0.0
