,0
fires_last_7d,0.68307114
pct_21,0.119733356
pct_90,0.03956575
WS10M_3d_max,0.021923108
PRECTOTCORR,0.017695352
pct_31,0.01578885
PS,0.014067123
pct_23,0.012347495
RH2M_3d_min,0.011138204
RH2M,0.008226679
T2M_3d_mean,0.0073604514
T2M,0.0067031994
ndvi,0.006425161
WS10M,0.005986333
pct_22,0.005914428
PRECTOT_7d_sum,0.005170375
ndvi_7d_mean,0.004891136
fires_last_14d,0.004623982
pct_52,0.00431354
pct_41,0.0030338967
pct_71,0.002020433
pct_24,0.0
pct_12,0.0
pct_11,0.0
pct_43,0.0
pct_82,0.0
pct_81,0.0
pct_42,0.0
pct_95,0.0
