latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
40.82043,-114.25957,303.08,0.64,0.72,2023-07-01,0828,N,VIIRS,n,2,287.67,1.83,N,2
36.35896,-114.91793,308.99,0.66,0.73,2023-07-01,0829,N,VIIRS,n,2,294.33,3.5,N,0
36.35849,-114.91535,317.98,0.66,0.73,2023-07-01,0829,N,VIIRS,n,2,294.98,3.34,N,2
32.49693,-115.05466,316.43,0.63,0.72,2023-07-01,0830,N,VIIRS,n,2,293.58,2.35,N,0
32.49458,-115.05391,316.65,0.63,0.72,2023-07-01,0830,N,VIIRS,n,2,292.67,2.03,N,0
32.19266,-114.94876,303.16,0.62,0.71,2023-07-01,0830,N,VIIRS,n,2,291.87,0.45,N,0
40.82253,-114.25518,317.12,0.49,0.49,2023-07-01,1008,N,VIIRS,n,2,289.61,1.57,N,2
40.73793,-122.32553,305.47,0.39,0.36,2023-07-01,1009,N,VIIRS,n,2,295.31,0.87,N,0
38.56992,-120.43704,304.6,0.44,0.38,2023-07-01,1009,N,VIIRS,n,2,287.77,0.55,N,0
38.06268,-119.92284,310.19,0.46,0.39,2023-07-01,1009,N,VIIRS,n,2,288.4,1.53,N,0
38.05912,-119.92391,322.07,0.46,0.39,2023-07-01,1009,N,VIIRS,n,2,288.71,2.01,N,0
38.05811,-119.91862,300.73,0.46,0.39,2023-07-01,1009,N,VIIRS,n,2,288.12,2.01,N,0
38.05558,-119.92506,321.48,0.46,0.39,2023-07-01,1009,N,VIIRS,n,2,289.56,2.01,N,0
38.05204,-119.92621,317.02,0.46,0.39,2023-07-01,1009,N,VIIRS,n,2,287.97,0.96,N,0
38.05103,-119.92091,306.17,0.46,0.39,2023-07-01,1009,N,VIIRS,n,2,288.86,0.96,N,0
38.04851,-119.9274,296.35,0.46,0.39,2023-07-01,1009,N,VIIRS,n,2,285.39,0.96,N,0
38.0475,-119.92215,301.8,0.46,0.39,2023-07-01,1009,N,VIIRS,n,2,288.37,0.96,N,0
38.04396,-119.92332,298.03,0.46,0.39,2023-07-01,1009,N,VIIRS,n,2,287.23,0.75,N,0
38.21678,-121.98554,303.71,0.4,0.37,2023-07-01,1009,N,VIIRS,n,2,292.3,0.7,N,2
38.30183,-122.74944,300.15,0.39,0.36,2023-07-01,1009,N,VIIRS,n,2,286.93,0.42,N,2
38.16172,-122.56721,303.31,0.39,0.36,2023-07-01,1009,N,VIIRS,n,2,286.64,0.39,N,2
38.07037,-122.13995,309.12,0.4,0.37,2023-07-01,1009,N,VIIRS,n,2,294.68,1.88,N,2
37.81364,-120.7565,315.77,0.44,0.38,2023-07-01,1009,N,VIIRS,n,2,294.19,2.01,N,0
37.88495,-121.18747,304.8,0.42,0.38,2023-07-01,1009,N,VIIRS,n,2,291.82,0.99,N,0
38.00341,-121.93543,315.54,0.4,0.37,2023-07-01,1009,N,VIIRS,n,2,297.89,2.14,N,2
37.75404,-121.65955,306.16,0.41,0.37,2023-07-01,1010,N,VIIRS,n,2,294.69,0.77,N,2
36.35729,-114.91577,307.27,0.58,0.52,2023-07-01,1010,N,VIIRS,n,2,295.37,2.98,N,2
36.35575,-114.90934,304.68,0.58,0.52,2023-07-01,1010,N,VIIRS,n,2,293.48,1.63,N,2
37.38901,-120.50127,305.03,0.45,0.39,2023-07-01,1010,N,VIIRS,n,2,294.91,0.98,N,2
37.45629,-121.93217,310.13,0.41,0.37,2023-07-01,1010,N,VIIRS,n,2,290.35,0.89,N,2
37.21168,-121.90372,304.5,0.41,0.37,2023-07-01,1010,N,VIIRS,n,2,289.49,0.21,N,0
36.04836,-118.98479,314.95,0.55,0.42,2023-07-01,1010,N,VIIRS,n,2,294.74,1.27,N,0
36.04453,-118.98601,305.03,0.55,0.42,2023-07-01,1010,N,VIIRS,n,2,294.32,1.27,N,0
36.04831,-118.98568,318.4,0.55,0.42,2023-07-01,1010,N,VIIRS,n,2,295.03,2.07,N,0
34.62122,-117.09934,305.04,0.48,0.48,2023-07-01,1010,N,VIIRS,n,2,294.46,0.54,N,2
34.60942,-117.33576,318.68,0.47,0.48,2023-07-01,1010,N,VIIRS,n,2,294.49,2.26,N,2
34.35439,-116.85302,304.75,0.51,0.49,2023-07-01,1010,N,VIIRS,n,2,294.71,0.97,N,2
33.71001,-114.52215,349.41,0.35,0.57,2023-07-01,1010,N,VIIRS,n,2,294.83,3.41,N,0
33.70963,-114.54253,367,0.35,0.57,2023-07-01,1010,N,VIIRS,h,2,298.54,9.68,N,0
33.70492,-114.52396,327.1,0.35,0.57,2023-07-01,1010,N,VIIRS,n,2,291.77,3.41,N,0
33.71057,-114.54626,319.02,0.35,0.57,2023-07-01,1010,N,VIIRS,n,2,294.52,9.07,N,0
33.70921,-114.52137,367,0.35,0.57,2023-07-01,1010,N,VIIRS,h,2,295.85,3.6,N,0
33.70964,-114.54556,338.6,0.35,0.57,2023-07-01,1010,N,VIIRS,n,2,294.22,10.09,N,0
33.70872,-114.54184,367,0.35,0.57,2023-07-01,1010,N,VIIRS,h,2,296.52,8.92,N,0
33.70413,-114.52319,306.77,0.35,0.57,2023-07-01,1010,N,VIIRS,n,2,291.51,3.6,N,0
34.14232,-117.42963,301.67,0.48,0.48,2023-07-01,1010,N,VIIRS,n,2,290.88,0.28,N,2
34.3353,-118.52122,322.19,0.41,0.45,2023-07-01,1010,N,VIIRS,n,2,291.09,1.97,N,2
34.32016,-118.51117,300.81,0.41,0.45,2023-07-01,1010,N,VIIRS,n,2,288.43,0.38,N,2
34.2437,-118.38256,300.55,0.42,0.45,2023-07-01,1010,N,VIIRS,n,2,288.3,0.26,N,2
34.15451,-118.1925,312.61,0.43,0.46,2023-07-01,1010,N,VIIRS,n,2,289.32,1.4,N,2
33.79414,-117.47444,305.24,0.48,0.48,2023-07-01,1010,N,VIIRS,n,2,289.82,1.06,N,2
32.59794,-115.08566,300.53,0.35,0.56,2023-07-01,1011,N,VIIRS,n,2,290.18,0.23,N,0
32.60354,-115.3313,304.39,0.34,0.56,2023-07-01,1011,N,VIIRS,n,2,293.08,0.7,N,0
32.49579,-115.05286,367,0.35,0.57,2023-07-01,1011,N,VIIRS,h,2,296.17,13.96,N,0
32.4949,-115.04919,367,0.35,0.57,2023-07-01,1011,N,VIIRS,h,2,298.66,12.83,N,0
32.49071,-115.05462,331.04,0.35,0.57,2023-07-01,1011,N,VIIRS,n,2,291.94,5.06,N,0
32.48981,-115.05096,334.95,0.35,0.57,2023-07-01,1011,N,VIIRS,n,2,292.55,4.01,N,0
32.58732,-115.49821,309.91,0.33,0.55,2023-07-01,1011,N,VIIRS,n,2,297.42,1.46,N,0
32.51537,-115.35707,310.07,0.34,0.56,2023-07-01,1011,N,VIIRS,n,2,293.11,0.63,N,0
32.19325,-114.94576,321.66,0.36,0.57,2023-07-01,1011,N,VIIRS,n,2,291.32,1.49,N,0
32.55855,-114.89154,343.52,0.53,0.67,2023-07-01,1949,N,VIIRS,n,2,316.1,7.04,D,0
32.57956,-114.91172,353.63,0.53,0.67,2023-07-01,1949,N,VIIRS,n,2,316.14,6.88,D,0
32.60356,-114.94544,367,0.53,0.67,2023-07-01,1949,N,VIIRS,h,2,319.89,12.11,D,0
32.60246,-114.9421,367,0.53,0.67,2023-07-01,1949,N,VIIRS,h,2,313.58,7.71,D,0
32.60092,-114.94767,341.42,0.53,0.67,2023-07-01,1949,N,VIIRS,n,2,312.19,7.71,D,0
32.53936,-116.40299,367,0.64,0.72,2023-07-01,1949,N,VIIRS,h,2,314.09,18.03,D,0
32.54119,-116.39651,353.26,0.64,0.72,2023-07-01,1949,N,VIIRS,n,2,313.72,20.06,D,0
32.54419,-116.39929,367,0.64,0.72,2023-07-01,1949,N,VIIRS,h,2,313.44,15.08,D,0
32.54231,-116.40577,367,0.64,0.72,2023-07-01,1949,N,VIIRS,h,2,313.6,15.08,D,0
36.35923,-114.90908,342.35,0.43,0.62,2023-07-01,1950,N,VIIRS,l,2,317.29,1.52,D,2
39.66267,-121.88757,334.7,0.76,0.77,2023-07-01,1951,N,VIIRS,l,2,307.28,13.54,D,0
41.59404,-123.269,330.61,0.77,0.77,2023-07-01,1952,N,VIIRS,n,2,300.58,5.76,D,0
32.30324,-116.48898,367,0.33,0.55,2023-07-01,2129,N,VIIRS,h,2,345.36,226.98,D,0
32.30376,-116.48233,349.92,0.33,0.55,2023-07-01,2129,N,VIIRS,n,2,307.94,63.79,D,0
32.30244,-116.49934,353.64,0.33,0.55,2023-07-01,2129,N,VIIRS,n,2,317.05,82.1,D,0
32.3035,-116.48565,351.53,0.33,0.55,2023-07-01,2129,N,VIIRS,l,2,329.36,63.79,D,0
32.30298,-116.49237,367,0.33,0.55,2023-07-01,2129,N,VIIRS,l,2,376.98,226.98,D,0
32.30272,-116.49582,367,0.33,0.55,2023-07-01,2129,N,VIIRS,l,2,344.81,82.1,D,0
