OBJECTID,SourceOID,ABCDMisc,ADSPermissionState,ContainmentDateTime,ControlDateTime,CreatedBySystem,IncidentSize,DiscoveryAcres,DispatchCenterID,EstimatedCostToDate,FinalAcres,FinalFireReportApprovedByTitle,FinalFireReportApprovedByUnit,FinalFireReportApprovedDate,FireBehaviorGeneral,FireBehaviorGeneral1,FireBehaviorGeneral2,FireBehaviorGeneral3,FireCause,FireCauseGeneral,FireCauseSpecific,FireCode,FireDepartmentID,FireDiscoveryDateTime,FireMgmtComplexity,FireOutDateTime,FireStrategyConfinePercent,FireStrategyFullSuppPercent,FireStrategyMonitorPercent,FireStrategyPointZonePercent,FSJobCode,FSOverrideCode,GACC,ICS209ReportDateTime,ICS209ReportForTimePeriodFrom,ICS209ReportForTimePeriodTo,ICS209ReportStatus,IncidentManagementOrganization,IncidentName,IncidentShortDescription,IncidentTypeCategory,IncidentTypeKind,InitialLatitude,InitialLongitude,InitialResponseAcres,InitialResponseDateTime,IrwinID,IsFireCauseInvestigated,IsFireCodeRequested,IsFSAssisted,IsMultiJurisdictional,IsQuarantined,IsReimbursable,IsTrespass,IsUnifiedCommand,IsValid,LocalIncidentIdentifier,PercentContained,PercentPerimeterToBeContained,POOCity,POOCounty,POODispatchCenterID,POOFips,POOJurisdictionalAgency,POOJurisdictionalUnit,POOJurisdictionalUnitParentUnit,POOLandownerCategory,POOLandownerKind,POOLegalDescPrincipalMeridian,POOLegalDescQtr,POOLegalDescQtrQtr,POOLegalDescRange,POOLegalDescSection,POOLegalDescTownship,POOPredictiveServiceAreaID,POOProtectingAgency,POOProtectingUnit,POOState,PredominantFuelGroup,PredominantFuelModel,PrimaryFuelModel,SecondaryFuelModel,TotalIncidentPersonnel,UniqueFireIdentifier,WFDSSDecisionStatus,EstimatedFinalCost,OrganizationalAssessment,StrategicDecisionPublishDate,CreatedOnDateTime_dt,ModifiedOnDateTime_dt,IsCpxChild,CpxName,CpxID,SourceGlobalID,GlobalID,IncidentComplexityLevel,x,y
323005,28043334,,DEFAULT,,,cfcad,,0.01,CALNCC,,,,,,,,,,Undetermined,,,,,7/11/2023 7:58:39 PM,,,,,,,,,ONCC,,,,,,TALL RX,,RX,FI,38.176121,-122.451347,,,{ABCF98EB-1CDE-4910-B328-97BE190F4101},,0,0,0,0,0,0,,1,012954,,,,Sonoma,CALNCC,06097,,,,Private,Private,,,,,,,NC02,CAL FIRE,CALNU,US-CA,,,,,,2023-CALNU-012954,No Decision,,,,7/19/2023 10:30:29 PM,7/19/2023 10:30:29 PM,0,,,{E88CD0AD-9846-4F86-9391-E09A353EF90A},347a3411-8f7c-424d-8ec1-868a21c3b96b,,-122.451347,38.176121
321336,28041661,,DEFAULT,,,cfcad,,0.01,CASIFC,,,,,,,,,,Undetermined,,,,,7/11/2023 9:50:53 PM,,,,,,,,,ONCC,,,,,,LOOKOUT RANCH RX,,RX,FI,41.208477,-121.157965,,,{8F9B568B-EA92-42EB-8BDB-09ACE58F425E},,0,0,0,0,0,0,,1,003608,,,,Modoc,CASIFC,06049,,,,Private,Private,,,,,,,NC06,CAL FIRE,CALMU,US-CA,,,,,,2023-CALMU-003608,No Decision,,,,7/13/2023 2:17:25 AM,7/13/2023 2:17:25 AM,0,,,{0CAE139B-31CF-4D07-8A81-8F32DAFD0B0A},8b96b411-9214-428a-96f0-ba3be7e873dc,,-121.157965,41.208477
320815,28041142,,DEFAULT,,,lacocad,,0.01,CALACC,,,,,,,,,,Undetermined,,,,,7/11/2023 12:02:08 AM,,,,,,,,,OSCC,,,,,,LAC-229571,,WF,FI,33.92941,-118.23803,,,{E0C12836-D493-48F8-8BF1-3481D84C5D7F},,0,,,0,,,,1,229571,,,,Los Angeles,CALACC,06037,,,,Private,Private,,,,,,,SC08,C&L,CALAC,US-CA,,,,,,2023-CALAC-229571,No Decision,,,,7/11/2023 12:06:48 AM,7/11/2023 12:06:48 AM,0,,,{55F3EF88-DBBD-4B5F-8AB1-9D878257393C},2aa7e2b4-3436-4e99-89fd-e76369968be5,,-118.23803,33.92941
320812,28041141,,DEFAULT,7/11/2023 12:30:00 AM,7/11/2023 1:18:30 AM,cfcad,0.1,0.01,CAFKCC,,0.1,,,,,,,,Undetermined,,,QC0L,,7/11/2023 12:03:23 AM,,,,,,,PN,1522,OSCC,,,,,,BROOK,,WF,FI,36.702684,-119.060268,,,{BAA52297-40C6-4B0D-9664-390542261BAC},,0,1,0,0,1,0,,1,013774,,,,Fresno,CASICC,06019,,,,Private,Private,,,,,,,SC04,CAL FIRE,CAFKU,US-CA,,,,,,2023-CAFKU-013774,No Decision,,,,7/11/2023 12:05:10 AM,7/13/2023 1:34:38 AM,0,,,{18C84885-65E5-4873-9628-5F036D1B458C},571ef886-c648-4f96-8cb3-92276317897d,,-119.060268,36.702684
320820,28041144,,DEFAULT,,,lacocad,,0.01,CALACC,,,,,,,,,,Undetermined,,,,,7/11/2023 12:06:51 AM,,,,,,,,,OSCC,,,,,,LAC-229580,,WF,FI,34.07634,-118.03582,,,{36F9E423-B25A-4160-BCA2-45D8AE1975BA},,0,,,0,,,,1,229580,,,,Los Angeles,CALACC,06037,,,,Private,Private,,,,,,,SC08,C&L,CALAC,US-CA,,,,,,2023-CALAC-229580,No Decision,,,,7/11/2023 12:12:48 AM,7/11/2023 12:12:48 AM,0,,,{AC6A53D9-F322-4C90-85B0-DE8089A9BA44},b590e06d-58d4-42e2-b666-e7753db5f0ea,,-118.03582,34.07634
320823,28041151,,DEFAULT,7/11/2023 12:25:00 AM,7/11/2023 12:25:00 AM,cfcad,0.01,0.01,CAMMCC,,0.01,,,,,,,,Undetermined,,,,,7/11/2023 12:12:30 AM,,,,,,,,,OSCC,,,,,,MARIPOSA ST  MADERA_CITY,,WF,FI,36.955556,-120.039955,,,{2184C1E3-0462-41BF-9CFB-9D09D28E3280},,0,0,0,0,0,0,,1,015143,,,,Madera,CAMMCC,06039,,,,Private,Private,,,,,,,SC05,CAL FIRE,CAMMU,US-CA,,,,,,2023-CAMMU-015143,No Decision,,,,7/11/2023 12:25:49 AM,7/11/2023 12:41:23 AM,0,,,{54CDE3C3-3832-4B73-9BC3-61F0E3F1BFF2},a5463c2d-0654-4a31-91b2-1f1417a178a5,,-120.041704,36.955739
320826,28041156,,DEFAULT,,,lacocad,,0.01,CALACC,,,,,,,,,,Undetermined,,,,,7/11/2023 12:31:34 AM,,,,,,,,,OSCC,,,,,,LAC-229610,,WF,FI,34.00007,-118.17549,,,{C76DEE9A-F4B6-47A3-AA93-9826652E8966},,0,,,0,,,,1,229610,,,,Los Angeles,CALACC,06037,,,,Private,Private,,,,,,,SC08,C&L,CALAC,US-CA,,,,,,2023-CALAC-229610,No Decision,,,,7/11/2023 12:40:48 AM,7/11/2023 12:40:48 AM,0,,,{3FB92AE2-E808-4BBD-81F6-56D803B064A4},a4592fb1-ea53-4652-9477-0f0ed97d531a,,-118.17549,34.00007
320827,28041155,,DEFAULT,7/11/2023 1:03:00 AM,,cfcad,0.01,0.01,CARRCC,,0.01,,,,,,,,Undetermined,,,,,7/11/2023 12:38:04 AM,,,,,,,,,OSCC,,,,,,STONE,,WF,FI,33.734136,-117.262398,,,{1FE8647D-4534-4177-8AAD-4C0B155E3258},,0,,,0,,,,1,100324,,,,Riverside,CARRCC,06065,,,,Private,Private,,,,,,,SC08,CAL FIRE,CARRU,US-CA,,,,,,2023-CARRU-100324,No Decision,,,,7/11/2023 12:38:52 AM,7/11/2023 1:12:20 AM,0,,,{C4E26921-304D-4650-AADA-F7E903E6F009},ae95252b-2e05-40e4-9350-fa6dc2bdecad,,-117.262398,33.734136
322090,28042414,,DEFAULT,,,wildcad,0.1,0.1,CASBCC,,,,,,,,,,Undetermined,,,QDL8,,7/11/2023 12:46:10 AM,,,,,,,PD,1522,OSCC,,,,,,STONE DR,,WF,FI,33.73394,-117.2623,,,{DCFD4316-A87B-4BBC-8B15-6315DFB62EB3},,0,0,0,0,0,0,,1,009905,,,,Riverside,CARRCC,06065,BLM,CACDD,,BLM,Federal,,,,,,,SC08,BLM,CACDD,US-CA,,,,,,2023-CACDD-009905,No Decision,,,,7/16/2023 2:35:43 AM,7/16/2023 2:44:44 AM,0,,,{1EA0865C-B0B8-4050-829E-C336150D11F6},3b6ab39f-f9a0-49e5-b216-3beac52e2f93,,-117.2623,33.73394
320832,28041159,,DEFAULT,7/11/2023 12:52:59 AM,7/11/2023 1:02:22 AM,cfcad,0.01,0.01,CASLCC,,0.01,,,,,,,,Undetermined,,,,,7/11/2023 12:48:19 AM,,,,,,,,,OSCC,,,,,,HWY 101 NB EXIT 228 PR_CO,,WF,FI,35.585201,-120.696026,,,{DE52AF0C-14AF-4C35-A8F1-09CA3BA4CF95},,0,0,0,0,0,0,,1,010570,,,,San Luis Obispo,CASLCC,06079,,,,Private,Private,,,,,,,SC06,CAL FIRE,CASLU,US-CA,,,,,,2023-CASLU-010570,No Decision,,,,7/11/2023 12:53:05 AM,7/11/2023 1:27:16 AM,0,,,{FDC9BC8B-A0E0-4A75-916F-CF94E2B6F31A},2d5b3aed-d8fe-4773-ada3-af139e3cf6dd,,-120.696026,35.585201
320834,28041162,,DEFAULT,7/11/2023 1:20:00 AM,7/11/2023 1:20:00 AM,cfcad,0.01,0.01,CASDIC,,0.01,,,,,,,,Undetermined,,,QC2H,,7/11/2023 1:10:10 AM,,,,,,,PN,1522,OSCC,,,,,,BUCKMAN 3,,WF,FI,32.671843,-116.48841,,,{8CA7DD24-480E-4248-8793-41A1BC96A8C5},,0,1,1,0,1,0,,1,016138,,,,San Diego,CASDIC,06073,,,,Private,Private,,,,,,,SC11,CAL FIRE,CASDU,US-CA,,,,,,2023-CASDU-016138,No Decision,,,,7/11/2023 1:10:50 AM,7/12/2023 10:56:38 PM,0,,,{B99565DB-1A9A-4307-AF1E-0D3195578FF7},ca3984bf-a692-42bd-90e9-2cfc4179ef61,,-116.481667,32.669167
320836,28041163,,DEFAULT,,,lacocad,,0.01,CALACC,,,,,,,,,,Undetermined,,,,,7/11/2023 1:18:37 AM,,,,,,,,,OSCC,,,,,,LAC-229662,,WF,FI,34.07295,-117.7783,,,{AC69673D-2E42-4034-93CD-697953D7335C},,0,,,0,,,,1,229662,,,,Los Angeles,CALACC,06037,,,,Private,Private,,,,,,,SC08,C&L,CALAC,US-CA,,,,,,2023-CALAC-229662,No Decision,,,,7/11/2023 1:20:48 AM,7/11/2023 1:20:48 AM,0,,,{FD80B54E-6F0A-47A8-B738-E666A703D559},6e1ba224-3c8f-4b3e-bee6-27baba5356c7,,-117.7783,34.07295
