LAT,LON,YEAR,DOY,PS
32.5,-124.375,2023,182,101.56
32.5,-123.75,2023,182,101.5
32.5,-123.125,2023,182,101.45
32.5,-122.5,2023,182,101.39
32.5,-121.875,2023,182,101.35
32.5,-121.25,2023,182,101.3
32.5,-120.625,2023,182,101.26
32.5,-120.0,2023,182,101.23
33.0,-124.375,2023,182,101.54
33.0,-123.75,2023,182,101.48
33.0,-123.125,2023,182,101.43
33.0,-122.5,2023,182,101.37
33.0,-121.875,2023,182,101.32
33.0,-121.25,2023,182,101.27
33.0,-120.625,2023,182,101.24
33.0,-120.0,2023,182,101.23
33.5,-124.375,2023,182,101.53
33.5,-123.75,2023,182,101.47
33.5,-123.125,2023,182,101.41
33.5,-122.5,2023,182,101.35
33.5,-121.875,2023,182,101.3
33.5,-121.25,2023,182,101.25
33.5,-120.625,2023,182,101.19
33.5,-120.0,2023,182,101.16
34.0,-124.375,2023,182,101.51
34.0,-123.75,2023,182,101.45
34.0,-123.125,2023,182,101.39
34.0,-122.5,2023,182,101.33
34.0,-121.875,2023,182,101.27
34.0,-121.25,2023,182,101.23
34.0,-120.625,2023,182,101.08
34.0,-120.0,2023,182,100.64
34.5,-124.375,2023,182,101.49
34.5,-123.75,2023,182,101.42
34.5,-123.125,2023,182,101.37
34.5,-122.5,2023,182,101.31
34.5,-121.875,2023,182,101.25
34.5,-121.25,2023,182,101.2
34.5,-120.625,2023,182,100.34
34.5,-120.0,2023,182,97.53
35.0,-124.375,2023,182,101.47
35.0,-123.75,2023,182,101.4
35.0,-123.125,2023,182,101.34
35.0,-122.5,2023,182,101.29
35.0,-121.875,2023,182,101.22
35.0,-121.25,2023,182,101.08
35.0,-120.625,2023,182,98.93
35.0,-120.0,2023,182,94.15
35.5,-124.375,2023,182,101.45
35.5,-123.75,2023,182,101.38
35.5,-123.125,2023,182,101.32
35.5,-122.5,2023,182,101.29
35.5,-121.875,2023,182,101.14
35.5,-121.25,2023,182,100.15
35.5,-120.625,2023,182,97.34
35.5,-120.0,2023,182,96.6
36.0,-124.375,2023,182,101.43
36.0,-123.75,2023,182,101.36
36.0,-123.125,2023,182,101.31
36.0,-122.5,2023,182,101.28
36.0,-121.875,2023,182,100.09
36.0,-121.25,2023,182,96.79
36.0,-120.625,2023,182,96.3
36.0,-120.0,2023,182,98.42
36.5,-124.375,2023,182,101.41
36.5,-123.75,2023,182,101.34
36.5,-123.125,2023,182,101.29
36.5,-122.5,2023,182,101.25
36.5,-121.875,2023,182,99.82
36.5,-121.25,2023,182,95.73
36.5,-120.625,2023,182,96.26
36.5,-120.0,2023,182,99.31
37.0,-124.375,2023,182,101.39
37.0,-123.75,2023,182,101.32
37.0,-123.125,2023,182,101.28
37.0,-122.5,2023,182,100.68
37.0,-121.875,2023,182,98.73
37.0,-121.25,2023,182,97.29
37.0,-120.625,2023,182,99.04
37.0,-120.0,2023,182,98.68
37.5,-124.375,2023,182,101.37
37.5,-123.75,2023,182,101.29
37.5,-123.125,2023,182,101.21
37.5,-122.5,2023,182,100.44
37.5,-121.875,2023,182,98.43
37.5,-121.25,2023,182,98.17
37.5,-120.625,2023,182,99.05
37.5,-120.0,2023,182,92.42
38.0,-124.375,2023,182,101.35
38.0,-123.75,2023,182,101.26
38.0,-123.125,2023,182,100.9
38.0,-122.5,2023,182,100.15
