LAT,LON,YEAR,DOY,T2M
32.5,-119.375,2023,182,13.54
32.5,-118.75,2023,182,14.08
32.5,-118.125,2023,182,14.67
32.5,-117.5,2023,182,16.09
32.5,-116.875,2023,182,23.12
32.5,-116.25,2023,182,29.86
32.5,-115.625,2023,182,35.52
32.5,-115.0,2023,182,34.42
32.5,-114.375,2023,182,33.36
33.0,-119.375,2023,182,13.6
33.0,-118.75,2023,182,14.03
33.0,-118.125,2023,182,15.54
33.0,-117.5,2023,182,19.21
33.0,-116.875,2023,182,25.84
33.0,-116.25,2023,182,32.43
33.0,-115.625,2023,182,35.58
33.0,-115.0,2023,182,34.16
33.0,-114.375,2023,182,34.9
33.5,-119.375,2023,182,13.81
33.5,-118.75,2023,182,14.53
33.5,-118.125,2023,182,17.0
33.5,-117.5,2023,182,21.53
33.5,-116.875,2023,182,27.0
33.5,-116.25,2023,182,33.55
33.5,-115.625,2023,182,34.54
33.5,-115.0,2023,182,35.43
33.5,-114.375,2023,182,35.77
34.0,-119.375,2023,182,16.69
34.0,-118.75,2023,182,19.55
34.0,-118.125,2023,182,23.68
34.0,-117.5,2023,182,26.95
34.0,-116.875,2023,182,29.88
34.0,-116.25,2023,182,31.94
34.0,-115.625,2023,182,34.48
34.0,-115.0,2023,182,36.28
34.0,-114.375,2023,182,36.64
34.5,-119.375,2023,182,27.47
34.5,-118.75,2023,182,27.4
34.5,-118.125,2023,182,29.17
34.5,-117.5,2023,182,29.56
34.5,-116.875,2023,182,30.43
34.5,-116.25,2023,182,33.79
34.5,-115.625,2023,182,36.55
34.5,-115.0,2023,182,35.77
34.5,-114.375,2023,182,36.07
35.0,-119.375,2023,182,29.24
35.0,-118.75,2023,182,30.34
35.0,-118.125,2023,182,29.89
35.0,-117.5,2023,182,31.64
35.0,-116.875,2023,182,32.41
35.0,-116.25,2023,182,35.46
35.0,-115.625,2023,182,32.72
35.0,-115.0,2023,182,33.59
35.0,-114.375,2023,182,34.34
35.5,-119.375,2023,182,31.92
35.5,-118.75,2023,182,30.12
35.5,-118.125,2023,182,29.13
35.5,-117.5,2023,182,33.17
35.5,-116.875,2023,182,33.51
35.5,-116.25,2023,182,35.45
35.5,-115.625,2023,182,32.2
35.5,-115.0,2023,182,32.29
35.5,-114.375,2023,182,33.57
36.0,-119.375,2023,182,32.99
36.0,-118.75,2023,182,28.37
36.0,-118.125,2023,182,24.1
36.0,-117.5,2023,182,31.1
36.0,-116.875,2023,182,34.65
36.0,-116.25,2023,182,34.92
36.0,-115.625,2023,182,31.52
36.0,-115.0,2023,182,34.39
36.0,-114.375,2023,182,34.31
36.5,-119.375,2023,182,33.68
36.5,-118.75,2023,182,24.0
36.5,-118.125,2023,182,21.35
36.5,-117.5,2023,182,30.81
36.5,-116.875,2023,182,34.21
36.5,-116.25,2023,182,33.12
36.5,-115.625,2023,182,29.24
36.5,-115.0,2023,182,31.53
36.5,-114.375,2023,182,33.86
37.0,-119.375,2023,182,28.37
37.0,-118.75,2023,182,18.23
37.0,-118.125,2023,182,23.03
37.0,-117.5,2023,182,28.82
37.0,-116.875,2023,182,30.33
37.0,-116.25,2023,182,29.67
37.0,-115.625,2023,182,29.51
37.0,-115.0,2023,182,30.62
37.0,-114.375,2023,182,31.73
37.5,-119.375,2023,182,19.3
37.5,-118.75,2023,182,18.26
37.5,-118.125,2023,182,23.62
37.5,-117.5,2023,182,25.95
37.5,-116.875,2023,182,27.43
37.5,-116.25,2023,182,26.63
37.5,-115.625,2023,182,26.9
37.5,-115.0,2023,182,27.97
37.5,-114.375,2023,182,25.83
38.0,-119.375,2023,182,17.81
38.0,-118.75,2023,182,21.22
38.0,-118.125,2023,182,23.62
38.0,-117.5,2023,182,25.5
38.0,-116.875,2023,182,25.93
38.0,-116.25,2023,182,26.04
38.0,-115.625,2023,182,24.96
38.0,-115.0,2023,182,26.18
38.0,-114.375,2023,182,24.1
38.5,-119.375,2023,182,21.94
38.5,-118.75,2023,182,24.15
38.5,-118.125,2023,182,24.46
38.5,-117.5,2023,182,24.18
38.5,-116.875,2023,182,23.6
38.5,-116.25,2023,182,24.21
38.5,-115.625,2023,182,24.89
38.5,-115.0,2023,182,24.17
38.5,-114.375,2023,182,22.55
39.0,-119.375,2023,182,25.71
39.0,-118.75,2023,182,25.95
39.0,-118.125,2023,182,25.37
39.0,-117.5,2023,182,22.92
