LAT,LON,T2M,DATE,PS,WS10M,PRECTOTCORR,RH2M
32.5,-124.375,15.68,2020-06-01,101.8,5.07,2.3,83.75
32.5,-123.75,15.67,2020-06-01,101.77,5.44,2.65,84.78
32.5,-123.125,15.71,2020-06-01,101.73,6.01,2.85,85.81
32.5,-122.5,15.92,2020-06-01,101.69,6.69,3.61,86.26
32.5,-121.875,16.01,2020-06-01,101.65,7.33,3.4,86.62
32.5,-121.25,15.92,2020-06-01,101.59,7.72,0.89,87.7
32.5,-120.625,15.82,2020-06-01,101.53,8.13,0.04,89.17
32.5,-120.0,15.93,2020-06-01,101.48,8.56,0.0,89.74
33.0,-124.375,15.56,2020-06-01,101.8,5.4,0.74,83.28
33.0,-123.75,15.55,2020-06-01,101.77,5.65,1.32,84.3
33.0,-123.125,15.54,2020-06-01,101.73,6.11,1.34,85.42
33.0,-122.5,15.61,2020-06-01,101.68,6.7,0.81,86.13
33.0,-121.875,15.68,2020-06-01,101.64,7.32,0.5,87.12
33.0,-121.25,15.61,2020-06-01,101.58,7.76,0.09,88.14
33.0,-120.625,15.54,2020-06-01,101.53,8.3,0.01,89.72
33.0,-120.0,15.72,2020-06-01,101.46,8.85,0.0,89.92
33.5,-124.375,15.45,2020-06-01,101.8,5.72,0.33,82.75
33.5,-123.75,15.45,2020-06-01,101.76,5.88,0.45,83.66
33.5,-123.125,15.36,2020-06-01,101.72,6.21,0.5,85.03
33.5,-122.5,15.34,2020-06-01,101.68,6.69,0.13,86.19
33.5,-121.875,15.43,2020-06-01,101.63,7.31,0.04,87.49
33.5,-121.25,15.34,2020-06-01,101.58,7.84,0.0,88.79
33.5,-120.625,15.06,2020-06-01,101.49,8.48,0.01,91.24
33.5,-120.0,15.46,2020-06-01,101.42,9.3,0.0,90.18
34.0,-124.375,15.42,2020-06-01,101.79,5.99,0.19,81.61
34.0,-123.75,15.33,2020-06-01,101.75,6.06,0.21,83.16
34.0,-123.125,15.21,2020-06-01,101.71,6.3,0.17,84.58
34.0,-122.5,15.08,2020-06-01,101.67,6.67,0.06,86.16
