LAT,LON,YEAR,DOY,PRECTOTCORR
32.5,-124.375,2022,182,0.08
32.5,-123.75,2022,182,0.03
32.5,-123.125,2022,182,0.01
32.5,-122.5,2022,182,0.0
32.5,-121.875,2022,182,0.0
32.5,-121.25,2022,182,0.0
32.5,-120.625,2022,182,0.0
32.5,-120.0,2022,182,0.0
33.0,-124.375,2022,182,0.07
33.0,-123.75,2022,182,0.04
33.0,-123.125,2022,182,0.01
33.0,-122.5,2022,182,0.0
33.0,-121.875,2022,182,0.0
33.0,-121.25,2022,182,0.0
33.0,-120.625,2022,182,0.0
33.0,-120.0,2022,182,0.0
33.5,-124.375,2022,182,0.11
33.5,-123.75,2022,182,0.06
33.5,-123.125,2022,182,0.02
33.5,-122.5,2022,182,0.0
33.5,-121.875,2022,182,0.0
33.5,-121.25,2022,182,0.0
33.5,-120.625,2022,182,0.0
33.5,-120.0,2022,182,0.0
34.0,-124.375,2022,182,0.18
34.0,-123.75,2022,182,0.09
34.0,-123.125,2022,182,0.04
34.0,-122.5,2022,182,0.01
34.0,-121.875,2022,182,0.0
34.0,-121.25,2022,182,0.0
34.0,-120.625,2022,182,0.0
34.0,-120.0,2022,182,0.01
34.5,-124.375,2022,182,0.22
34.5,-123.75,2022,182,0.12
34.5,-123.125,2022,182,0.05
34.5,-122.5,2022,182,0.01
34.5,-121.875,2022,182,0.01
34.5,-121.25,2022,182,0.0
34.5,-120.625,2022,182,0.0
34.5,-120.0,2022,182,0.01
35.0,-124.375,2022,182,0.18
35.0,-123.75,2022,182,0.13
35.0,-123.125,2022,182,0.07
35.0,-122.5,2022,182,0.01
35.0,-121.875,2022,182,0.01
35.0,-121.25,2022,182,0.0
35.0,-120.625,2022,182,0.0
35.0,-120.0,2022,182,0.0
35.5,-124.375,2022,182,0.14
35.5,-123.75,2022,182,0.11
35.5,-123.125,2022,182,0.08
35.5,-122.5,2022,182,0.02
35.5,-121.875,2022,182,0.02
35.5,-121.25,2022,182,0.0
35.5,-120.625,2022,182,0.0
35.5,-120.0,2022,182,0.0
36.0,-124.375,2022,182,0.16
36.0,-123.75,2022,182,0.15
36.0,-123.125,2022,182,0.11
36.0,-122.5,2022,182,0.05
36.0,-121.875,2022,182,0.04
36.0,-121.25,2022,182,0.0
36.0,-120.625,2022,182,0.0
36.0,-120.0,2022,182,0.0
36.5,-124.375,2022,182,0.22
36.5,-123.75,2022,182,0.24
36.5,-123.125,2022,182,0.2
36.5,-122.5,2022,182,0.09
36.5,-121.875,2022,182,0.06
36.5,-121.25,2022,182,0.0
36.5,-120.625,2022,182,0.0
36.5,-120.0,2022,182,0.0
37.0,-124.375,2022,182,0.31
37.0,-123.75,2022,182,0.35
37.0,-123.125,2022,182,0.34
37.0,-122.5,2022,182,0.19
37.0,-121.875,2022,182,0.05
37.0,-121.25,2022,182,0.0
37.0,-120.625,2022,182,0.0
37.0,-120.0,2022,182,0.0
37.5,-124.375,2022,182,0.29
37.5,-123.75,2022,182,0.37
37.5,-123.125,2022,182,0.35
37.5,-122.5,2022,182,0.09
37.5,-121.875,2022,182,0.03
37.5,-121.25,2022,182,0.0
37.5,-120.625,2022,182,0.0
37.5,-120.0,2022,182,0.0
38.0,-124.375,2022,182,0.12
38.0,-123.75,2022,182,0.19
38.0,-123.125,2022,182,0.23
38.0,-122.5,2022,182,0.06
38.0,-121.875,2022,182,0.06
38.0,-121.25,2022,182,0.0
38.0,-120.625,2022,182,0.0
38.0,-120.0,2022,182,0.0
38.5,-124.375,2022,182,0.05
38.5,-123.75,2022,182,0.09
38.5,-123.125,2022,182,0.09
38.5,-122.5,2022,182,0.03
38.5,-121.875,2022,182,0.01
38.5,-121.25,2022,182,0.0
38.5,-120.625,2022,182,0.0
38.5,-120.0,2022,182,0.0
39.0,-124.375,2022,182,0.03
39.0,-123.75,2022,182,0.03
39.0,-123.125,2022,182,0.01
39.0,-122.5,2022,182,0.0
39.0,-121.875,2022,182,0.0
39.0,-121.25,2022,182,0.0
39.0,-120.625,2022,182,0.0
39.0,-120.0,2022,182,0.0
39.5,-124.375,2022,182,0.04
39.5,-123.75,2022,182,0.01
39.5,-123.125,2022,182,0.0
39.5,-122.5,2022,182,0.0
39.5,-121.875,2022,182,0.0
39.5,-121.25,2022,182,0.0
39.5,-120.625,2022,182,0.0
39.5,-120.0,2022,182,0.0
40.0,-124.375,2022,182,0.16
40.0,-123.75,2022,182,0.22
40.0,-123.125,2022,182,0.0
40.0,-122.5,2022,182,0.0
40.0,-121.875,2022,182,0.0
40.0,-121.25,2022,182,0.0
40.0,-120.625,2022,182,0.0
40.0,-120.0,2022,182,0.0
40.5,-124.375,2022,182,0.7
40.5,-123.75,2022,182,0.57
40.5,-123.125,2022,182,0.0
40.5,-122.5,2022,182,0.0
40.5,-121.875,2022,182,0.0
40.5,-121.25,2022,182,0.0
40.5,-120.625,2022,182,0.0
40.5,-120.0,2022,182,0.0
41.0,-124.375,2022,182,0.82
41.0,-123.75,2022,182,0.5
41.0,-123.125,2022,182,0.0
41.0,-122.5,2022,182,0.0
41.0,-121.875,2022,182,0.0
41.0,-121.25,2022,182,0.0
41.0,-120.625,2022,182,0.0
41.0,-120.0,2022,182,0.0
41.5,-124.375,2022,182,0.31
41.5,-123.75,2022,182,0.11
41.5,-123.125,2022,182,0.0
41.5,-122.5,2022,182,0.0
41.5,-121.875,2022,182,0.0
41.5,-121.25,2022,182,0.0
41.5,-120.625,2022,182,0.0
41.5,-120.0,2022,182,0.0
42.0,-124.375,2022,182,0.22
42.0,-123.75,2022,182,0.11
42.0,-123.125,2022,182,0.0
42.0,-122.5,2022,182,0.0
42.0,-121.875,2022,182,0.0
42.0,-121.25,2022,182,0.0
42.0,-120.625,2022,182,0.0
42.0,-120.0,2022,182,0.0
32.5,-124.375,2022,183,0.21
32.5,-123.75,2022,183,0.15
32.5,-123.125,2022,183,0.07
32.5,-122.5,2022,183,0.02
32.5,-121.875,2022,183,0.01
32.5,-121.25,2022,183,0.0
32.5,-120.625,2022,183,0.0
32.5,-120.0,2022,183,0.0
33.0,-124.375,2022,183,0.25
33.0,-123.75,2022,183,0.19
33.0,-123.125,2022,183,0.1
33.0,-122.5,2022,183,0.04
33.0,-121.875,2022,183,0.02
33.0,-121.25,2022,183,0.0
33.0,-120.625,2022,183,0.0
33.0,-120.0,2022,183,0.0
33.5,-124.375,2022,183,0.25
33.5,-123.75,2022,183,0.23
33.5,-123.125,2022,183,0.14
33.5,-122.5,2022,183,0.02
33.5,-121.875,2022,183,0.02
33.5,-121.25,2022,183,0.0
33.5,-120.625,2022,183,0.0
33.5,-120.0,2022,183,0.0
34.0,-124.375,2022,183,0.39
34.0,-123.75,2022,183,0.31
34.0,-123.125,2022,183,0.19
34.0,-122.5,2022,183,0.04
34.0,-121.875,2022,183,0.01
34.0,-121.25,2022,183,0.0
34.0,-120.625,2022,183,0.01
34.0,-120.0,2022,183,0.02
34.5,-124.375,2022,183,0.5
34.5,-123.75,2022,183,0.43
34.5,-123.125,2022,183,0.26
