LAT,LON,YEAR,DOY,PS
32.5,-124.375,2022,213,101.75
32.5,-123.75,2022,213,101.73
32.5,-123.125,2022,213,101.71
32.5,-122.5,2022,213,101.69
32.5,-121.875,2022,213,101.68
32.5,-121.25,2022,213,101.65
32.5,-120.625,2022,213,101.63
32.5,-120.0,2022,213,101.62
33.0,-124.375,2022,213,101.75
33.0,-123.75,2022,213,101.73
33.0,-123.125,2022,213,101.71
33.0,-122.5,2022,213,101.68
33.0,-121.875,2022,213,101.66
33.0,-121.25,2022,213,101.64
33.0,-120.625,2022,213,101.62
33.0,-120.0,2022,213,101.62
33.5,-124.375,2022,213,101.74
33.5,-123.75,2022,213,101.72
33.5,-123.125,2022,213,101.7
33.5,-122.5,2022,213,101.68
33.5,-121.875,2022,213,101.65
33.5,-121.25,2022,213,101.62
33.5,-120.625,2022,213,101.59
33.5,-120.0,2022,213,101.56
34.0,-124.375,2022,213,101.74
34.0,-123.75,2022,213,101.72
34.0,-123.125,2022,213,101.69
34.0,-122.5,2022,213,101.66
34.0,-121.875,2022,213,101.63
34.0,-121.25,2022,213,101.61
34.0,-120.625,2022,213,101.47
34.0,-120.0,2022,213,101.03
34.5,-124.375,2022,213,101.74
34.5,-123.75,2022,213,101.71
34.5,-123.125,2022,213,101.68
34.5,-122.5,2022,213,101.65
34.5,-121.875,2022,213,101.62
34.5,-121.25,2022,213,101.58
34.5,-120.625,2022,213,100.75
34.5,-120.0,2022,213,97.97
35.0,-124.375,2022,213,101.73
35.0,-123.75,2022,213,101.7
35.0,-123.125,2022,213,101.67
35.0,-122.5,2022,213,101.65
35.0,-121.875,2022,213,101.59
35.0,-121.25,2022,213,101.47
35.0,-120.625,2022,213,99.33
35.0,-120.0,2022,213,94.49
35.5,-124.375,2022,213,101.73
35.5,-123.75,2022,213,101.7
35.5,-123.125,2022,213,101.67
35.5,-122.5,2022,213,101.64
35.5,-121.875,2022,213,101.52
35.5,-121.25,2022,213,100.55
35.5,-120.625,2022,213,97.73
35.5,-120.0,2022,213,96.95
36.0,-124.375,2022,213,101.72
36.0,-123.75,2022,213,101.7
36.0,-123.125,2022,213,101.67
36.0,-122.5,2022,213,101.64
36.0,-121.875,2022,213,100.47
36.0,-121.25,2022,213,97.16
36.0,-120.625,2022,213,96.68
36.0,-120.0,2022,213,98.81
36.5,-124.375,2022,213,101.72
36.5,-123.75,2022,213,101.69
36.5,-123.125,2022,213,101.67
36.5,-122.5,2022,213,101.63
36.5,-121.875,2022,213,100.19
36.5,-121.25,2022,213,96.02
36.5,-120.625,2022,213,96.57
36.5,-120.0,2022,213,99.69
37.0,-124.375,2022,213,101.71
37.0,-123.75,2022,213,101.69
37.0,-123.125,2022,213,101.67
37.0,-122.5,2022,213,101.07
37.0,-121.875,2022,213,99.09
37.0,-121.25,2022,213,97.64
37.0,-120.625,2022,213,99.42
37.0,-120.0,2022,213,99.1
37.5,-124.375,2022,213,101.7
37.5,-123.75,2022,213,101.68
37.5,-123.125,2022,213,101.62
37.5,-122.5,2022,213,100.83
37.5,-121.875,2022,213,98.81
37.5,-121.25,2022,213,98.52
37.5,-120.625,2022,213,99.46
37.5,-120.0,2022,213,92.74
38.0,-124.375,2022,213,101.69
38.0,-123.75,2022,213,101.67
38.0,-123.125,2022,213,101.34
38.0,-122.5,2022,213,100.56
38.0,-121.875,2022,213,100.3
38.0,-121.25,2022,213,100.35
38.0,-120.625,2022,213,96.11
38.0,-120.0,2022,213,85.17
38.5,-124.375,2022,213,101.67
38.5,-123.75,2022,213,101.23
38.5,-123.125,2022,213,99.56
38.5,-122.5,2022,213,98.4
38.5,-121.875,2022,213,100.62
38.5,-121.25,2022,213,100.0
38.5,-120.625,2022,213,91.68
38.5,-120.0,2022,213,80.99
39.0,-124.375,2022,213,101.64
39.0,-123.75,2022,213,99.93
39.0,-123.125,2022,213,95.87
39.0,-122.5,2022,213,96.68
39.0,-121.875,2022,213,100.69
39.0,-121.25,2022,213,98.05
39.0,-120.625,2022,213,87.9
39.0,-120.0,2022,213,81.32
39.5,-124.375,2022,213,101.52
39.5,-123.75,2022,213,98.76
39.5,-123.125,2022,213,92.01
39.5,-122.5,2022,213,96.74
39.5,-121.875,2022,213,100.1
39.5,-121.25,2022,213,93.4
39.5,-120.625,2022,213,84.59
39.5,-120.0,2022,213,82.64
40.0,-124.375,2022,213,100.91
40.0,-123.75,2022,213,96.25
40.0,-123.125,2022,213,89.93
40.0,-122.5,2022,213,96.75
40.0,-121.875,2022,213,96.11
40.0,-121.25,2022,213,86.83
40.0,-120.625,2022,213,84.16
40.0,-120.0,2022,213,84.72
40.5,-124.375,2022,213,100.05
40.5,-123.75,2022,213,93.98
40.5,-123.125,2022,213,90.17
40.5,-122.5,2022,213,96.14
40.5,-121.875,2022,213,91.97
40.5,-121.25,2022,213,83.39
40.5,-120.625,2022,213,84.13
40.5,-120.0,2022,213,85.69
41.0,-124.375,2022,213,100.84
41.0,-123.75,2022,213,94.3
41.0,-123.125,2022,213,88.09
41.0,-122.5,2022,213,89.82
41.0,-121.875,2022,213,89.9
41.0,-121.25,2022,213,86.39
41.0,-120.625,2022,213,83.34
41.0,-120.0,2022,213,82.94
41.5,-124.375,2022,213,100.7
41.5,-123.75,2022,213,93.67
41.5,-123.125,2022,213,88.26
41.5,-122.5,2022,213,87.06
41.5,-121.875,2022,213,85.42
41.5,-121.25,2022,213,85.89
41.5,-120.625,2022,213,84.59
41.5,-120.0,2022,213,83.01
42.0,-124.375,2022,213,99.78
42.0,-123.75,2022,213,93.31
42.0,-123.125,2022,213,89.26
42.0,-122.5,2022,213,88.16
42.0,-121.875,2022,213,86.3
42.0,-121.25,2022,213,86.11
42.0,-120.625,2022,213,84.15
42.0,-120.0,2022,213,83.4
32.5,-124.375,2022,214,101.74
32.5,-123.75,2022,214,101.73
32.5,-123.125,2022,214,101.71
32.5,-122.5,2022,214,101.7
32.5,-121.875,2022,214,101.69
32.5,-121.25,2022,214,101.66
32.5,-120.625,2022,214,101.64
32.5,-120.0,2022,214,101.62
33.0,-124.375,2022,214,101.75
33.0,-123.75,2022,214,101.74
33.0,-123.125,2022,214,101.72
33.0,-122.5,2022,214,101.69
33.0,-121.875,2022,214,101.68
33.0,-121.25,2022,214,101.65
33.0,-120.625,2022,214,101.63
33.0,-120.0,2022,214,101.61
33.5,-124.375,2022,214,101.75
33.5,-123.75,2022,214,101.74
33.5,-123.125,2022,214,101.72
33.5,-122.5,2022,214,101.7
33.5,-121.875,2022,214,101.68
33.5,-121.25,2022,214,101.65
33.5,-120.625,2022,214,101.6
33.5,-120.0,2022,214,101.56
