LAT,LON,YEAR,DOY,RH2M
32.5,-119.375,2020,153,88.88
32.5,-118.75,2020,153,89.28
32.5,-118.125,2020,153,87.64
32.5,-117.5,2020,153,86.6
32.5,-116.875,2020,153,64.06
32.5,-116.25,2020,153,33.07
32.5,-115.625,2020,153,20.94
32.5,-115.0,2020,153,24.36
32.5,-114.375,2020,153,33.21
33.0,-119.375,2020,153,87.95
33.0,-118.75,2020,153,87.8
33.0,-118.125,2020,153,85.34
33.0,-117.5,2020,153,80.96
33.0,-116.875,2020,153,58.21
33.0,-116.25,2020,153,32.56
33.0,-115.625,2020,153,29.62
33.0,-115.0,2020,153,27.38
33.0,-114.375,2020,153,24.81
33.5,-119.375,2020,153,86.85
33.5,-118.75,2020,153,86.86
33.5,-118.125,2020,153,77.37
33.5,-117.5,2020,153,68.15
33.5,-116.875,2020,153,53.03
33.5,-116.25,2020,153,31.03
33.5,-115.625,2020,153,28.38
33.5,-115.0,2020,153,22.99
33.5,-114.375,2020,153,21.23
34.0,-119.375,2020,153,77.86
34.0,-118.75,2020,153,66.4
34.0,-118.125,2020,153,57.67
34.0,-117.5,2020,153,49.16
34.0,-116.875,2020,153,42.95
34.0,-116.25,2020,153,29.5
34.0,-115.625,2020,153,23.88
34.0,-115.0,2020,153,19.11
34.0,-114.375,2020,153,16.38
34.5,-119.375,2020,153,47.19
34.5,-118.75,2020,153,50.3
34.5,-118.125,2020,153,45.77
34.5,-117.5,2020,153,42.67
34.5,-116.875,2020,153,38.68
34.5,-116.25,2020,153,28.54
34.5,-115.625,2020,153,22.11
34.5,-115.0,2020,153,19.05
34.5,-114.375,2020,153,15.37
35.0,-119.375,2020,153,46.14
35.0,-118.75,2020,153,48.18
35.0,-118.125,2020,153,43.74
35.0,-117.5,2020,153,39.06
35.0,-116.875,2020,153,34.88
35.0,-116.25,2020,153,27.9
35.0,-115.625,2020,153,24.69
35.0,-115.0,2020,153,21.24
35.0,-114.375,2020,153,16.46
35.5,-119.375,2020,153,47.27
35.5,-118.75,2020,153,42.84
35.5,-118.125,2020,153,40.89
35.5,-117.5,2020,153,32.43
35.5,-116.875,2020,153,32.67
35.5,-116.25,2020,153,27.88
35.5,-115.625,2020,153,25.71
35.5,-115.0,2020,153,22.02
35.5,-114.375,2020,153,18.14
36.0,-119.375,2020,153,50.48
36.0,-118.75,2020,153,46.89
36.0,-118.125,2020,153,49.35
36.0,-117.5,2020,153,32.14
36.0,-116.875,2020,153,28.55
36.0,-116.25,2020,153,25.65
36.0,-115.625,2020,153,24.89
36.0,-115.0,2020,153,17.63
36.0,-114.375,2020,153,18.13
36.5,-119.375,2020,153,49.38
36.5,-118.75,2020,153,54.86
36.5,-118.125,2020,153,53.94
36.5,-117.5,2020,153,29.09
36.5,-116.875,2020,153,24.48
36.5,-116.25,2020,153,23.91
36.5,-115.625,2020,153,24.66
36.5,-115.0,2020,153,18.64
36.5,-114.375,2020,153,16.61
37.0,-119.375,2020,153,54.26
37.0,-118.75,2020,153,68.92
37.0,-118.125,2020,153,46.53
37.0,-117.5,2020,153,27.13
37.0,-116.875,2020,153,25.14
37.0,-116.25,2020,153,25.39
37.0,-115.625,2020,153,22.84
37.0,-115.0,2020,153,17.69
37.0,-114.375,2020,153,17.1
37.5,-119.375,2020,153,72.73
37.5,-118.75,2020,153,64.13
37.5,-118.125,2020,153,41.62
37.5,-117.5,2020,153,28.71
37.5,-116.875,2020,153,26.0
37.5,-116.25,2020,153,27.14
37.5,-115.625,2020,153,27.51
37.5,-115.0,2020,153,22.84
37.5,-114.375,2020,153,25.08
38.0,-119.375,2020,153,79.4
38.0,-118.75,2020,153,54.2
38.0,-118.125,2020,153,41.26
38.0,-117.5,2020,153,29.25
38.0,-116.875,2020,153,26.05
38.0,-116.25,2020,153,25.58
38.0,-115.625,2020,153,29.29
38.0,-115.0,2020,153,26.23
38.0,-114.375,2020,153,26.5
38.5,-119.375,2020,153,60.28
38.5,-118.75,2020,153,49.66
38.5,-118.125,2020,153,41.08
38.5,-117.5,2020,153,34.36
38.5,-116.875,2020,153,30.66
38.5,-116.25,2020,153,26.57
38.5,-115.625,2020,153,28.07
38.5,-115.0,2020,153,28.43
38.5,-114.375,2020,153,28.82
39.0,-119.375,2020,153,53.11
39.0,-118.75,2020,153,52.71
39.0,-118.125,2020,153,43.67
39.0,-117.5,2020,153,40.24
39.0,-116.875,2020,153,34.96
39.0,-116.25,2020,153,29.72
39.0,-115.625,2020,153,30.36
39.0,-115.0,2020,153,29.97
39.0,-114.375,2020,153,30.19
39.5,-119.375,2020,153,52.77
39.5,-118.75,2020,153,45.6
39.5,-118.125,2020,153,45.54
39.5,-117.5,2020,153,44.02
39.5,-116.875,2020,153,37.04
39.5,-116.25,2020,153,28.68
39.5,-115.625,2020,153,30.55
39.5,-115.0,2020,153,30.38
39.5,-114.375,2020,153,29.55
40.0,-119.375,2020,153,53.09
40.0,-118.75,2020,153,44.8
40.0,-118.125,2020,153,40.43
40.0,-117.5,2020,153,40.73
40.0,-116.875,2020,153,38.59
40.0,-116.25,2020,153,33.36
40.0,-115.625,2020,153,33.06
40.0,-115.0,2020,153,30.68
40.0,-114.375,2020,153,26.79
40.5,-119.375,2020,153,49.38
40.5,-118.75,2020,153,45.0
40.5,-118.125,2020,153,41.2
40.5,-117.5,2020,153,41.18
40.5,-116.875,2020,153,38.06
40.5,-116.25,2020,153,36.04
40.5,-115.625,2020,153,38.22
40.5,-115.0,2020,153,35.64
40.5,-114.375,2020,153,28.66
41.0,-119.375,2020,153,51.3
41.0,-118.75,2020,153,44.35
41.0,-118.125,2020,153,41.23
41.0,-117.5,2020,153,40.71
41.0,-116.875,2020,153,38.92
41.0,-116.25,2020,153,41.07
41.0,-115.625,2020,153,42.26
41.0,-115.0,2020,153,42.55
41.0,-114.375,2020,153,34.97
41.5,-119.375,2020,153,55.41
41.5,-118.75,2020,153,47.63
41.5,-118.125,2020,153,42.99
41.5,-117.5,2020,153,43.21
41.5,-116.875,2020,153,43.32
41.5,-116.25,2020,153,46.47
41.5,-115.625,2020,153,49.18
41.5,-115.0,2020,153,45.64
41.5,-114.375,2020,153,37.15
42.0,-119.375,2020,153,58.47
42.0,-118.75,2020,153,49.24
42.0,-118.125,2020,153,48.88
42.0,-117.5,2020,153,46.05
42.0,-116.875,2020,153,46.77
42.0,-116.25,2020,153,48.33
42.0,-115.625,2020,153,45.98
42.0,-115.0,2020,153,45.09
42.0,-114.375,2020,153,41.35
32.5,-119.375,2020,154,90.34
32.5,-118.75,2020,154,90.25
32.5,-118.125,2020,154,88.38
32.5,-117.5,2020,154,86.64
32.5,-116.875,2020,154,66.57
32.5,-116.25,2020,154,30.96
32.5,-115.625,2020,154,19.12
32.5,-115.0,2020,154,30.46
32.5,-114.375,2020,154,30.97
33.0,-119.375,2020,154,90.45
33.0,-118.75,2020,154,90.05
33.0,-118.125,2020,154,87.02
33.0,-117.5,2020,154,81.73
33.0,-116.875,2020,154,55.07
33.0,-116.25,2020,154,29.12
33.0,-115.625,2020,154,23.22
33.0,-115.0,2020,154,23.62
33.0,-114.375,2020,154,22.46
33.5,-119.375,2020,154,89.42
33.5,-118.75,2020,154,89.16
33.5,-118.125,2020,154,81.36
33.5,-117.5,2020,154,64.66
33.5,-116.875,2020,154,45.35
33.5,-116.25,2020,154,23.29
33.5,-115.625,2020,154,20.61
33.5,-115.0,2020,154,18.35
33.5,-114.375,2020,154,17.25
34.0,-119.375,2020,154,76.99
34.0,-118.75,2020,154,66.78
34.0,-118.125,2020,154,55.84
34.0,-117.5,2020,154,39.58
34.0,-116.875,2020,154,32.68
34.0,-116.25,2020,154,22.4
34.0,-115.625,2020,154,16.31
34.0,-115.0,2020,154,14.56
34.0,-114.375,2020,154,14.91
34.5,-119.375,2020,154,52.3
34.5,-118.75,2020,154,54.19
34.5,-118.125,2020,154,41.43
34.5,-117.5,2020,154,33.09
34.5,-116.875,2020,154,29.71
34.5,-116.25,2020,154,21.5
34.5,-115.625,2020,154,15.45
34.5,-115.0,2020,154,13.52
34.5,-114.375,2020,154,14.4
35.0,-119.375,2020,154,51.4
35.0,-118.75,2020,154,48.57
35.0,-118.125,2020,154,35.83
35.0,-117.5,2020,154,30.95
35.0,-116.875,2020,154,27.84
35.0,-116.25,2020,154,20.65
35.0,-115.625,2020,154,16.77
35.0,-115.0,2020,154,15.74
35.0,-114.375,2020,154,15.03
35.5,-119.375,2020,154,45.82
35.5,-118.75,2020,154,38.8
35.5,-118.125,2020,154,30.85
35.5,-117.5,2020,154,24.75
35.5,-116.875,2020,154,24.73
35.5,-116.25,2020,154,19.95
35.5,-115.625,2020,154,17.31
35.5,-115.0,2020,154,15.22
35.5,-114.375,2020,154,15.55
36.0,-119.375,2020,154,44.88
36.0,-118.75,2020,154,39.62
36.0,-118.125,2020,154,40.04
36.0,-117.5,2020,154,26.19
36.0,-116.875,2020,154,21.75
36.0,-116.25,2020,154,20.78
36.0,-115.625,2020,154,18.26
36.0,-115.0,2020,154,12.85
36.0,-114.375,2020,154,16.05
36.5,-119.375,2020,154,42.57
36.5,-118.75,2020,154,53.01
36.5,-118.125,2020,154,45.06
36.5,-117.5,2020,154,25.59
36.5,-116.875,2020,154,21.93
36.5,-116.25,2020,154,22.72
36.5,-115.625,2020,154,20.76
36.5,-115.0,2020,154,17.26
36.5,-114.375,2020,154,16.81
37.0,-119.375,2020,154,47.54
37.0,-118.75,2020,154,62.26
37.0,-118.125,2020,154,42.0
37.0,-117.5,2020,154,27.21
37.0,-116.875,2020,154,26.65
37.0,-116.25,2020,154,27.04
37.0,-115.625,2020,154,22.22
37.0,-115.0,2020,154,19.26
37.0,-114.375,2020,154,20.32
37.5,-119.375,2020,154,66.72
37.5,-118.75,2020,154,61.34
37.5,-118.125,2020,154,44.12
37.5,-117.5,2020,154,34.71
37.5,-116.875,2020,154,30.81
37.5,-116.25,2020,154,31.63
37.5,-115.625,2020,154,28.54
37.5,-115.0,2020,154,23.98
37.5,-114.375,2020,154,27.47
38.0,-119.375,2020,154,73.54
38.0,-118.75,2020,154,53.4
38.0,-118.125,2020,154,47.27
38.0,-117.5,2020,154,40.99
38.0,-116.875,2020,154,35.95
38.0,-116.25,2020,154,33.07
38.0,-115.625,2020,154,32.74
38.0,-115.0,2020,154,26.29
38.0,-114.375,2020,154,28.79
38.5,-119.375,2020,154,56.75
38.5,-118.75,2020,154,48.45
38.5,-118.125,2020,154,48.11
38.5,-117.5,2020,154,47.78
38.5,-116.875,2020,154,45.39
38.5,-116.25,2020,154,38.58
38.5,-115.625,2020,154,34.28
38.5,-115.0,2020,154,30.48
38.5,-114.375,2020,154,32.9
39.0,-119.375,2020,154,46.61
39.0,-118.75,2020,154,49.21
39.0,-118.125,2020,154,51.21
39.0,-117.5,2020,154,54.36
39.0,-116.875,2020,154,52.11
39.0,-116.25,2020,154,45.33
39.0,-115.625,2020,154,39.44
39.0,-115.0,2020,154,36.68
39.0,-114.375,2020,154,36.85
39.5,-119.375,2020,154,47.2
39.5,-118.75,2020,154,46.58
39.5,-118.125,2020,154,52.53
39.5,-117.5,2020,154,57.64
39.5,-116.875,2020,154,53.54
39.5,-116.25,2020,154,46.25
39.5,-115.625,2020,154,43.24
39.5,-115.0,2020,154,41.84
39.5,-114.375,2020,154,40.13
40.0,-119.375,2020,154,45.05
40.0,-118.75,2020,154,45.4
40.0,-118.125,2020,154,50.08
40.0,-117.5,2020,154,54.87
40.0,-116.875,2020,154,55.92
40.0,-116.25,2020,154,50.61
40.0,-115.625,2020,154,47.55
40.0,-115.0,2020,154,45.43
40.0,-114.375,2020,154,41.85
40.5,-119.375,2020,154,43.4
40.5,-118.75,2020,154,44.53
40.5,-118.125,2020,154,50.87
40.5,-117.5,2020,154,57.65
40.5,-116.875,2020,154,55.99
40.5,-116.25,2020,154,53.1
40.5,-115.625,2020,154,52.88
40.5,-115.0,2020,154,50.96
40.5,-114.375,2020,154,45.31
41.0,-119.375,2020,154,48.38
41.0,-118.75,2020,154,45.95
41.0,-118.125,2020,154,48.84
41.0,-117.5,2020,154,55.19
41.0,-116.875,2020,154,55.8
41.0,-116.25,2020,154,57.42
41.0,-115.625,2020,154,56.08
41.0,-115.0,2020,154,56.68
41.0,-114.375,2020,154,50.75
41.5,-119.375,2020,154,51.57
41.5,-118.75,2020,154,48.49
41.5,-118.125,2020,154,48.58
41.5,-117.5,2020,154,54.43
41.5,-116.875,2020,154,58.39
41.5,-116.25,2020,154,62.44
41.5,-115.625,2020,154,62.49
41.5,-115.0,2020,154,60.92
41.5,-114.375,2020,154,55.78
42.0,-119.375,2020,154,51.25
42.0,-118.75,2020,154,46.37
42.0,-118.125,2020,154,52.38
42.0,-117.5,2020,154,53.58
42.0,-116.875,2020,154,57.36
42.0,-116.25,2020,154,60.94
42.0,-115.625,2020,154,61.53
42.0,-115.0,2020,154,62.82
42.0,-114.375,2020,154,60.05
32.5,-119.375,2020,155,95.49
32.5,-118.75,2020,155,94.99
32.5,-118.125,2020,155,91.81
32.5,-117.5,2020,155,89.46
32.5,-116.875,2020,155,59.81
32.5,-116.25,2020,155,28.65
32.5,-115.625,2020,155,18.45
32.5,-115.0,2020,155,19.68
32.5,-114.375,2020,155,28.83
33.0,-119.375,2020,155,94.69
33.0,-118.75,2020,155,93.39
33.0,-118.125,2020,155,88.24
33.0,-117.5,2020,155,80.73
33.0,-116.875,2020,155,52.59
33.0,-116.25,2020,155,26.68
33.0,-115.625,2020,155,22.61
33.0,-115.0,2020,155,19.86
33.0,-114.375,2020,155,18.9
33.5,-119.375,2020,155,93.42
33.5,-118.75,2020,155,92.33
33.5,-118.125,2020,155,78.71
33.5,-117.5,2020,155,62.49
33.5,-116.875,2020,155,45.02
33.5,-116.25,2020,155,24.51
33.5,-115.625,2020,155,21.52
33.5,-115.0,2020,155,17.73
33.5,-114.375,2020,155,16.12
34.0,-119.375,2020,155,77.14
34.0,-118.75,2020,155,58.27
34.0,-118.125,2020,155,51.12
34.0,-117.5,2020,155,40.23
34.0,-116.875,2020,155,36.61
34.0,-116.25,2020,155,24.98
34.0,-115.625,2020,155,19.93
34.0,-115.0,2020,155,17.16
34.0,-114.375,2020,155,16.19
34.5,-119.375,2020,155,35.51
34.5,-118.75,2020,155,43.68
34.5,-118.125,2020,155,39.01
34.5,-117.5,2020,155,38.14
34.5,-116.875,2020,155,35.76
34.5,-116.25,2020,155,25.58
34.5,-115.625,2020,155,20.48
34.5,-115.0,2020,155,17.95
34.5,-114.375,2020,155,17.44
35.0,-119.375,2020,155,36.78
35.0,-118.75,2020,155,35.39
35.0,-118.125,2020,155,35.43
35.0,-117.5,2020,155,34.15
35.0,-116.875,2020,155,31.31
35.0,-116.25,2020,155,25.31
35.0,-115.625,2020,155,25.85
35.0,-115.0,2020,155,19.84
35.0,-114.375,2020,155,18.46
35.5,-119.375,2020,155,39.24
35.5,-118.75,2020,155,32.69
35.5,-118.125,2020,155,34.95
35.5,-117.5,2020,155,31.07
35.5,-116.875,2020,155,30.27
35.5,-116.25,2020,155,27.13
35.5,-115.625,2020,155,27.17
35.5,-115.0,2020,155,20.27
35.5,-114.375,2020,155,18.16
36.0,-119.375,2020,155,38.83
36.0,-118.75,2020,155,33.7
36.0,-118.125,2020,155,42.74
36.0,-117.5,2020,155,35.31
36.0,-116.875,2020,155,29.9
36.0,-116.25,2020,155,27.91
36.0,-115.625,2020,155,25.01
36.0,-115.0,2020,155,17.11
36.0,-114.375,2020,155,17.3
36.5,-119.375,2020,155,34.55
36.5,-118.75,2020,155,42.41
36.5,-118.125,2020,155,46.07
36.5,-117.5,2020,155,33.17
36.5,-116.875,2020,155,30.96
36.5,-116.25,2020,155,29.95
36.5,-115.625,2020,155,27.43
36.5,-115.0,2020,155,21.38
36.5,-114.375,2020,155,18.27
37.0,-119.375,2020,155,38.34
37.0,-118.75,2020,155,50.76
37.0,-118.125,2020,155,42.4
37.0,-117.5,2020,155,33.48
37.0,-116.875,2020,155,35.36
37.0,-116.25,2020,155,33.55
37.0,-115.625,2020,155,30.87
37.0,-115.0,2020,155,23.85
37.0,-114.375,2020,155,21.62
37.5,-119.375,2020,155,46.41
37.5,-118.75,2020,155,49.3
37.5,-118.125,2020,155,37.98
37.5,-117.5,2020,155,36.43
37.5,-116.875,2020,155,39.32
37.5,-116.25,2020,155,39.21
37.5,-115.625,2020,155,38.63
37.5,-115.0,2020,155,29.35
37.5,-114.375,2020,155,28.56
38.0,-119.375,2020,155,47.89
38.0,-118.75,2020,155,40.52
38.0,-118.125,2020,155,35.55
38.0,-117.5,2020,155,39.21
38.0,-116.875,2020,155,44.07
38.0,-116.25,2020,155,42.6
38.0,-115.625,2020,155,42.69
38.0,-115.0,2020,155,34.35
38.0,-114.375,2020,155,32.18
38.5,-119.375,2020,155,38.42
38.5,-118.75,2020,155,32.97
38.5,-118.125,2020,155,34.52
38.5,-117.5,2020,155,41.29
38.5,-116.875,2020,155,42.67
38.5,-116.25,2020,155,42.19
38.5,-115.625,2020,155,40.57
38.5,-115.0,2020,155,36.84
38.5,-114.375,2020,155,35.06
39.0,-119.375,2020,155,33.18
39.0,-118.75,2020,155,31.07
39.0,-118.125,2020,155,35.11
39.0,-117.5,2020,155,39.27
39.0,-116.875,2020,155,38.72
39.0,-116.25,2020,155,40.48
39.0,-115.625,2020,155,42.26
39.0,-115.0,2020,155,39.83
39.0,-114.375,2020,155,37.33
39.5,-119.375,2020,155,32.67
39.5,-118.75,2020,155,26.04
39.5,-118.125,2020,155,32.96
39.5,-117.5,2020,155,37.39
39.5,-116.875,2020,155,35.29
39.5,-116.25,2020,155,34.78
39.5,-115.625,2020,155,39.23
39.5,-115.0,2020,155,39.52
39.5,-114.375,2020,155,36.89
40.0,-119.375,2020,155,32.52
40.0,-118.75,2020,155,27.3
40.0,-118.125,2020,155,26.05
40.0,-117.5,2020,155,32.26
40.0,-116.875,2020,155,34.3
40.0,-116.25,2020,155,33.04
40.0,-115.625,2020,155,35.42
40.0,-115.0,2020,155,36.66
40.0,-114.375,2020,155,32.46
40.5,-119.375,2020,155,30.84
40.5,-118.75,2020,155,28.5
40.5,-118.125,2020,155,26.55
40.5,-117.5,2020,155,29.67
40.5,-116.875,2020,155,31.26
40.5,-116.25,2020,155,32.57
40.5,-115.625,2020,155,35.78
40.5,-115.0,2020,155,36.74
40.5,-114.375,2020,155,33.31
41.0,-119.375,2020,155,35.45
41.0,-118.75,2020,155,31.74
41.0,-118.125,2020,155,29.5
41.0,-117.5,2020,155,30.32
41.0,-116.875,2020,155,31.06
41.0,-116.25,2020,155,34.85
41.0,-115.625,2020,155,37.03
41.0,-115.0,2020,155,39.53
41.0,-114.375,2020,155,36.56
41.5,-119.375,2020,155,38.73
41.5,-118.75,2020,155,35.39
41.5,-118.125,2020,155,34.02
41.5,-117.5,2020,155,34.73
41.5,-116.875,2020,155,35.44
41.5,-116.25,2020,155,39.41
41.5,-115.625,2020,155,42.4
41.5,-115.0,2020,155,42.44
41.5,-114.375,2020,155,37.0
42.0,-119.375,2020,155,42.21
42.0,-118.75,2020,155,35.76
42.0,-118.125,2020,155,39.48
42.0,-117.5,2020,155,38.98
42.0,-116.875,2020,155,38.79
42.0,-116.25,2020,155,41.12
42.0,-115.625,2020,155,41.35
42.0,-115.0,2020,155,41.02
42.0,-114.375,2020,155,39.96
32.5,-119.375,2020,156,96.45
32.5,-118.75,2020,156,95.77
32.5,-118.125,2020,156,95.06
32.5,-117.5,2020,156,91.77
32.5,-116.875,2020,156,69.96
32.5,-116.25,2020,156,33.46
32.5,-115.625,2020,156,20.09
32.5,-115.0,2020,156,21.69
32.5,-114.375,2020,156,30.51
33.0,-119.375,2020,156,96.47
33.0,-118.75,2020,156,95.5
33.0,-118.125,2020,156,91.88
33.0,-117.5,2020,156,83.44
33.0,-116.875,2020,156,59.28
33.0,-116.25,2020,156,31.41
33.0,-115.625,2020,156,26.42
33.0,-115.0,2020,156,22.91
33.0,-114.375,2020,156,25.06
33.5,-119.375,2020,156,97.26
33.5,-118.75,2020,156,96.05
33.5,-118.125,2020,156,85.4
33.5,-117.5,2020,156,70.16
33.5,-116.875,2020,156,48.02
33.5,-116.25,2020,156,26.75
33.5,-115.625,2020,156,23.88
33.5,-115.0,2020,156,22.48
33.5,-114.375,2020,156,20.75
34.0,-119.375,2020,156,85.39
34.0,-118.75,2020,156,78.85
34.0,-118.125,2020,156,62.57
34.0,-117.5,2020,156,47.78
34.0,-116.875,2020,156,37.36
34.0,-116.25,2020,156,25.12
34.0,-115.625,2020,156,19.69
34.0,-115.0,2020,156,19.51
34.0,-114.375,2020,156,19.21
34.5,-119.375,2020,156,41.22
34.5,-118.75,2020,156,45.54
34.5,-118.125,2020,156,42.07
34.5,-117.5,2020,156,35.45
34.5,-116.875,2020,156,32.66
34.5,-116.25,2020,156,22.78
34.5,-115.625,2020,156,18.84
34.5,-115.0,2020,156,18.41
34.5,-114.375,2020,156,17.9
35.0,-119.375,2020,156,35.04
35.0,-118.75,2020,156,32.88
35.0,-118.125,2020,156,32.23
35.0,-117.5,2020,156,29.01
35.0,-116.875,2020,156,25.57
35.0,-116.25,2020,156,21.26
35.0,-115.625,2020,156,19.57
35.0,-115.0,2020,156,20.26
35.0,-114.375,2020,156,18.62
35.5,-119.375,2020,156,31.63
35.5,-118.75,2020,156,27.8
35.5,-118.125,2020,156,28.17
35.5,-117.5,2020,156,21.62
35.5,-116.875,2020,156,19.45
35.5,-116.25,2020,156,17.2
35.5,-115.625,2020,156,16.12
35.5,-115.0,2020,156,20.69
35.5,-114.375,2020,156,20.53
36.0,-119.375,2020,156,29.66
36.0,-118.75,2020,156,27.94
36.0,-118.125,2020,156,38.47
36.0,-117.5,2020,156,22.91
36.0,-116.875,2020,156,15.33
36.0,-116.25,2020,156,13.96
36.0,-115.625,2020,156,14.16
36.0,-115.0,2020,156,14.51
36.0,-114.375,2020,156,20.38
36.5,-119.375,2020,156,26.06
36.5,-118.75,2020,156,40.89
36.5,-118.125,2020,156,40.21
36.5,-117.5,2020,156,22.8
36.5,-116.875,2020,156,14.99
36.5,-116.25,2020,156,13.33
36.5,-115.625,2020,156,15.6
36.5,-115.0,2020,156,15.34
36.5,-114.375,2020,156,18.17
37.0,-119.375,2020,156,33.01
37.0,-118.75,2020,156,49.76
37.0,-118.125,2020,156,36.66
37.0,-117.5,2020,156,22.79
37.0,-116.875,2020,156,18.02
37.0,-116.25,2020,156,16.62
37.0,-115.625,2020,156,18.8
37.0,-115.0,2020,156,16.43
37.0,-114.375,2020,156,16.85
37.5,-119.375,2020,156,38.82
37.5,-118.75,2020,156,44.59
37.5,-118.125,2020,156,31.74
37.5,-117.5,2020,156,23.15
37.5,-116.875,2020,156,19.79
37.5,-116.25,2020,156,20.23
37.5,-115.625,2020,156,25.41
37.5,-115.0,2020,156,22.27
37.5,-114.375,2020,156,23.03
38.0,-119.375,2020,156,40.06
38.0,-118.75,2020,156,35.33
38.0,-118.125,2020,156,27.04
38.0,-117.5,2020,156,21.05
38.0,-116.875,2020,156,19.71
38.0,-116.25,2020,156,20.71
38.0,-115.625,2020,156,28.13
38.0,-115.0,2020,156,25.47
38.0,-114.375,2020,156,26.49
38.5,-119.375,2020,156,31.75
38.5,-118.75,2020,156,27.53
38.5,-118.125,2020,156,22.01
38.5,-117.5,2020,156,22.29
38.5,-116.875,2020,156,23.16
38.5,-116.25,2020,156,23.58
38.5,-115.625,2020,156,27.26
38.5,-115.0,2020,156,27.11
38.5,-114.375,2020,156,28.46
39.0,-119.375,2020,156,26.77
39.0,-118.75,2020,156,24.41
39.0,-118.125,2020,156,21.15
39.0,-117.5,2020,156,25.38
39.0,-116.875,2020,156,26.18
39.0,-116.25,2020,156,24.17
39.0,-115.625,2020,156,28.56
39.0,-115.0,2020,156,29.04
39.0,-114.375,2020,156,29.05
39.5,-119.375,2020,156,27.68
39.5,-118.75,2020,156,21.83
39.5,-118.125,2020,156,21.2
39.5,-117.5,2020,156,25.53
39.5,-116.875,2020,156,26.29
39.5,-116.25,2020,156,23.18
39.5,-115.625,2020,156,25.42
39.5,-115.0,2020,156,27.82
39.5,-114.375,2020,156,27.35
40.0,-119.375,2020,156,28.94
40.0,-118.75,2020,156,23.35
40.0,-118.125,2020,156,20.45
40.0,-117.5,2020,156,23.81
40.0,-116.875,2020,156,26.72
40.0,-116.25,2020,156,26.62
40.0,-115.625,2020,156,27.64
40.0,-115.0,2020,156,28.09
40.0,-114.375,2020,156,25.43
40.5,-119.375,2020,156,28.31
40.5,-118.75,2020,156,25.47
40.5,-118.125,2020,156,24.01
40.5,-117.5,2020,156,25.93
40.5,-116.875,2020,156,27.03
40.5,-116.25,2020,156,29.09
40.5,-115.625,2020,156,32.58
40.5,-115.0,2020,156,32.92
40.5,-114.375,2020,156,28.54
41.0,-119.375,2020,156,35.48
41.0,-118.75,2020,156,30.99
41.0,-118.125,2020,156,29.41
41.0,-117.5,2020,156,30.95
41.0,-116.875,2020,156,31.67
41.0,-116.25,2020,156,36.34
41.0,-115.625,2020,156,38.3
41.0,-115.0,2020,156,39.92
41.0,-114.375,2020,156,33.84
41.5,-119.375,2020,156,42.45
41.5,-118.75,2020,156,38.48
41.5,-118.125,2020,156,35.76
41.5,-117.5,2020,156,37.24
41.5,-116.875,2020,156,39.79
41.5,-116.25,2020,156,46.32
41.5,-115.625,2020,156,47.36
41.5,-115.0,2020,156,44.9
41.5,-114.375,2020,156,37.39
42.0,-119.375,2020,156,47.33
42.0,-118.75,2020,156,39.03
42.0,-118.125,2020,156,40.31
42.0,-117.5,2020,156,40.4
42.0,-116.875,2020,156,41.19
42.0,-116.25,2020,156,45.16
42.0,-115.625,2020,156,46.13
42.0,-115.0,2020,156,45.8
42.0,-114.375,2020,156,43.02
32.5,-119.375,2020,157,92.18
32.5,-118.75,2020,157,89.69
32.5,-118.125,2020,157,88.73
32.5,-117.5,2020,157,85.93
32.5,-116.875,2020,157,79.47
32.5,-116.25,2020,157,50.38
32.5,-115.625,2020,157,22.84
32.5,-115.0,2020,157,23.63
32.5,-114.375,2020,157,31.46
33.0,-119.375,2020,157,90.3
33.0,-118.75,2020,157,86.51
33.0,-118.125,2020,157,85.48
33.0,-117.5,2020,157,82.52
33.0,-116.875,2020,157,75.73
33.0,-116.25,2020,157,47.44
33.0,-115.625,2020,157,30.49
33.0,-115.0,2020,157,26.54
33.0,-114.375,2020,157,24.97
33.5,-119.375,2020,157,89.47
33.5,-118.75,2020,157,85.89
33.5,-118.125,2020,157,81.24
33.5,-117.5,2020,157,76.31
33.5,-116.875,2020,157,63.19
33.5,-116.25,2020,157,36.27
33.5,-115.625,2020,157,30.68
33.5,-115.0,2020,157,27.22
33.5,-114.375,2020,157,23.53
