LAT,LON,YEAR,DOY,T2M
32.5,-124.375,2020,183,16.74
32.5,-123.75,2020,183,16.82
32.5,-123.125,2020,183,16.82
32.5,-122.5,2020,183,16.62
32.5,-121.875,2020,183,16.3
32.5,-121.25,2020,183,16.09
32.5,-120.625,2020,183,15.96
32.5,-120.0,2020,183,15.89
33.0,-124.375,2020,183,16.61
33.0,-123.75,2020,183,16.58
33.0,-123.125,2020,183,16.48
33.0,-122.5,2020,183,16.19
33.0,-121.875,2020,183,15.97
33.0,-121.25,2020,183,15.81
33.0,-120.625,2020,183,15.69
33.0,-120.0,2020,183,15.69
33.5,-124.375,2020,183,16.39
33.5,-123.75,2020,183,16.33
33.5,-123.125,2020,183,16.1
33.5,-122.5,2020,183,15.74
33.5,-121.875,2020,183,15.47
33.5,-121.25,2020,183,15.48
33.5,-120.625,2020,183,15.5
33.5,-120.0,2020,183,16.11
34.0,-124.375,2020,183,16.11
34.0,-123.75,2020,183,16.02
34.0,-123.125,2020,183,15.59
34.0,-122.5,2020,183,15.14
34.0,-121.875,2020,183,15.07
34.0,-121.25,2020,183,15.14
34.0,-120.625,2020,183,15.27
34.0,-120.0,2020,183,16.8
34.5,-124.375,2020,183,15.79
34.5,-123.75,2020,183,15.66
34.5,-123.125,2020,183,15.2
34.5,-122.5,2020,183,14.88
34.5,-121.875,2020,183,14.79
34.5,-121.25,2020,183,14.7
34.5,-120.625,2020,183,16.01
34.5,-120.0,2020,183,18.32
35.0,-124.375,2020,183,15.41
35.0,-123.75,2020,183,15.31
35.0,-123.125,2020,183,14.97
35.0,-122.5,2020,183,14.71
35.0,-121.875,2020,183,14.34
35.0,-121.25,2020,183,14.25
35.0,-120.625,2020,183,16.41
35.0,-120.0,2020,183,21.42
35.5,-124.375,2020,183,15.13
35.5,-123.75,2020,183,14.89
35.5,-123.125,2020,183,14.47
35.5,-122.5,2020,183,14.32
35.5,-121.875,2020,183,13.97
35.5,-121.25,2020,183,14.46
35.5,-120.625,2020,183,18.2
35.5,-120.0,2020,183,23.4
36.0,-124.375,2020,183,14.82
36.0,-123.75,2020,183,14.41
36.0,-123.125,2020,183,14.0
36.0,-122.5,2020,183,13.89
36.0,-121.875,2020,183,13.94
36.0,-121.25,2020,183,18.9
36.0,-120.625,2020,183,23.4
36.0,-120.0,2020,183,26.42
36.5,-124.375,2020,183,14.18
36.5,-123.75,2020,183,13.86
36.5,-123.125,2020,183,13.61
36.5,-122.5,2020,183,13.6
36.5,-121.875,2020,183,14.34
36.5,-121.25,2020,183,20.52
36.5,-120.625,2020,183,25.85
36.5,-120.0,2020,183,28.08
37.0,-124.375,2020,183,13.19
37.0,-123.75,2020,183,13.33
37.0,-123.125,2020,183,13.2
37.0,-122.5,2020,183,13.44
37.0,-121.875,2020,183,16.61
37.0,-121.25,2020,183,21.77
37.0,-120.625,2020,183,26.52
37.0,-120.0,2020,183,28.23
37.5,-124.375,2020,183,12.86
37.5,-123.75,2020,183,12.72
37.5,-123.125,2020,183,12.75
37.5,-122.5,2020,183,14.16
37.5,-121.875,2020,183,18.66
37.5,-121.25,2020,183,24.06
37.5,-120.625,2020,183,27.13
37.5,-120.0,2020,183,24.4
38.0,-124.375,2020,183,12.64
38.0,-123.75,2020,183,11.83
38.0,-123.125,2020,183,13.6
38.0,-122.5,2020,183,17.27
38.0,-121.875,2020,183,20.61
38.0,-121.25,2020,183,24.75
38.0,-120.625,2020,183,25.17
38.0,-120.0,2020,183,18.72
38.5,-124.375,2020,183,12.4
38.5,-123.75,2020,183,12.21
38.5,-123.125,2020,183,17.86
38.5,-122.5,2020,183,23.1
38.5,-121.875,2020,183,24.33
38.5,-121.25,2020,183,25.16
38.5,-120.625,2020,183,22.76
38.5,-120.0,2020,183,16.19
39.0,-124.375,2020,183,12.29
39.0,-123.75,2020,183,14.2
39.0,-123.125,2020,183,20.95
39.0,-122.5,2020,183,25.86
39.0,-121.875,2020,183,27.44
39.0,-121.25,2020,183,25.32
39.0,-120.625,2020,183,20.51
39.0,-120.0,2020,183,17.11
39.5,-124.375,2020,183,12.27
39.5,-123.75,2020,183,15.43
39.5,-123.125,2020,183,20.94
39.5,-122.5,2020,183,26.77
39.5,-121.875,2020,183,28.62
39.5,-121.25,2020,183,23.79
39.5,-120.625,2020,183,18.11
39.5,-120.0,2020,183,17.72
40.0,-124.375,2020,183,12.4
40.0,-123.75,2020,183,16.37
40.0,-123.125,2020,183,19.85
40.0,-122.5,2020,183,26.41
40.0,-121.875,2020,183,26.33
40.0,-121.25,2020,183,19.65
40.0,-120.625,2020,183,17.92
40.0,-120.0,2020,183,19.29
40.5,-124.375,2020,183,12.38
40.5,-123.75,2020,183,15.76
40.5,-123.125,2020,183,18.89
40.5,-122.5,2020,183,25.02
40.5,-121.875,2020,183,22.61
40.5,-121.25,2020,183,16.74
40.5,-120.625,2020,183,17.73
