LAT,LON,YEAR,DOY,WS10M
32.5,-119.375,2021,182,2.7
32.5,-118.75,2021,182,1.87
32.5,-118.125,2021,182,1.53
32.5,-117.5,2021,182,2.4
32.5,-116.875,2021,182,2.72
32.5,-116.25,2021,182,2.76
32.5,-115.625,2021,182,3.22
32.5,-115.0,2021,182,4.15
32.5,-114.375,2021,182,4.8
33.0,-119.375,2021,182,2.53
33.0,-118.75,2021,182,1.97
33.0,-118.125,2021,182,1.95
33.0,-117.5,2021,182,1.88
33.0,-116.875,2021,182,2.66
33.0,-116.25,2021,182,3.29
33.0,-115.625,2021,182,2.62
33.0,-115.0,2021,182,3.38
33.0,-114.375,2021,182,3.9
33.5,-119.375,2021,182,2.18
33.5,-118.75,2021,182,2.3
33.5,-118.125,2021,182,2.29
33.5,-117.5,2021,182,2.58
33.5,-116.875,2021,182,2.16
33.5,-116.25,2021,182,2.84
33.5,-115.625,2021,182,2.57
33.5,-115.0,2021,182,3.56
33.5,-114.375,2021,182,3.61
34.0,-119.375,2021,182,1.95
34.0,-118.75,2021,182,2.1
34.0,-118.125,2021,182,2.56
34.0,-117.5,2021,182,2.67
34.0,-116.875,2021,182,2.87
34.0,-116.25,2021,182,2.75
34.0,-115.625,2021,182,2.69
34.0,-115.0,2021,182,2.91
34.0,-114.375,2021,182,2.92
34.5,-119.375,2021,182,1.9
34.5,-118.75,2021,182,2.86
34.5,-118.125,2021,182,3.7
34.5,-117.5,2021,182,4.19
34.5,-116.875,2021,182,4.07
34.5,-116.25,2021,182,2.78
34.5,-115.625,2021,182,3.33
34.5,-115.0,2021,182,2.9
34.5,-114.375,2021,182,2.92
35.0,-119.375,2021,182,2.11
35.0,-118.75,2021,182,1.75
35.0,-118.125,2021,182,4.54
35.0,-117.5,2021,182,5.62
35.0,-116.875,2021,182,4.27
35.0,-116.25,2021,182,2.19
35.0,-115.625,2021,182,2.96
35.0,-115.0,2021,182,2.65
35.0,-114.375,2021,182,3.14
35.5,-119.375,2021,182,3.44
35.5,-118.75,2021,182,3.44
35.5,-118.125,2021,182,4.26
35.5,-117.5,2021,182,4.62
35.5,-116.875,2021,182,3.83
35.5,-116.25,2021,182,2.83
35.5,-115.625,2021,182,3.1
