LAT,LON,PRECTOTCORR,DATE
32.5,-124.375,2.3,2020-06-01
32.5,-123.75,2.65,2020-06-01
32.5,-123.125,2.85,2020-06-01
32.5,-122.5,3.61,2020-06-01
32.5,-121.875,3.4,2020-06-01
32.5,-121.25,0.89,2020-06-01
32.5,-120.625,0.04,2020-06-01
32.5,-120.0,0.0,2020-06-01
33.0,-124.375,0.74,2020-06-01
33.0,-123.75,1.32,2020-06-01
33.0,-123.125,1.34,2020-06-01
33.0,-122.5,0.81,2020-06-01
33.0,-121.875,0.5,2020-06-01
33.0,-121.25,0.09,2020-06-01
33.0,-120.625,0.01,2020-06-01
33.0,-120.0,0.0,2020-06-01
33.5,-124.375,0.33,2020-06-01
33.5,-123.75,0.45,2020-06-01
33.5,-123.125,0.5,2020-06-01
33.5,-122.5,0.13,2020-06-01
33.5,-121.875,0.04,2020-06-01
33.5,-121.25,0.0,2020-06-01
33.5,-120.625,0.01,2020-06-01
33.5,-120.0,0.0,2020-06-01
34.0,-124.375,0.19,2020-06-01
34.0,-123.75,0.21,2020-06-01
34.0,-123.125,0.17,2020-06-01
34.0,-122.5,0.06,2020-06-01
34.0,-121.875,0.01,2020-06-01
34.0,-121.25,0.0,2020-06-01
34.0,-120.625,0.02,2020-06-01
34.0,-120.0,0.04,2020-06-01
34.5,-124.375,0.2,2020-06-01
34.5,-123.75,0.16,2020-06-01
34.5,-123.125,0.13,2020-06-01
34.5,-122.5,0.04,2020-06-01
34.5,-121.875,0.06,2020-06-01
34.5,-121.25,0.0,2020-06-01
34.5,-120.625,0.01,2020-06-01
34.5,-120.0,0.03,2020-06-01
35.0,-124.375,0.43,2020-06-01
35.0,-123.75,0.23,2020-06-01
35.0,-123.125,0.18,2020-06-01
35.0,-122.5,0.06,2020-06-01
35.0,-121.875,0.07,2020-06-01
35.0,-121.25,0.01,2020-06-01
35.0,-120.625,0.0,2020-06-01
35.0,-120.0,0.01,2020-06-01
35.5,-124.375,0.77,2020-06-01
35.5,-123.75,0.5,2020-06-01
35.5,-123.125,0.28,2020-06-01
35.5,-122.5,0.11,2020-06-01
35.5,-121.875,0.09,2020-06-01
35.5,-121.25,0.01,2020-06-01
35.5,-120.625,0.0,2020-06-01
35.5,-120.0,0.0,2020-06-01
36.0,-124.375,0.83,2020-06-01
36.0,-123.75,0.5,2020-06-01
36.0,-123.125,0.28,2020-06-01
36.0,-122.5,0.14,2020-06-01
36.0,-121.875,0.1,2020-06-01
36.0,-121.25,0.05,2020-06-01
36.0,-120.625,0.0,2020-06-01
36.0,-120.0,0.0,2020-06-01
36.5,-124.375,0.64,2020-06-01
36.5,-123.75,0.4,2020-06-01
36.5,-123.125,0.27,2020-06-01
36.5,-122.5,0.14,2020-06-01
36.5,-121.875,0.21,2020-06-01
36.5,-121.25,0.04,2020-06-01
36.5,-120.625,0.0,2020-06-01
36.5,-120.0,0.01,2020-06-01
37.0,-124.375,0.46,2020-06-01
37.0,-123.75,0.36,2020-06-01
37.0,-123.125,0.4,2020-06-01
37.0,-122.5,0.51,2020-06-01
37.0,-121.875,0.15,2020-06-01
37.0,-121.25,0.03,2020-06-01
37.0,-120.625,0.03,2020-06-01
37.0,-120.0,0.06,2020-06-01
37.5,-124.375,0.37,2020-06-01
37.5,-123.75,0.25,2020-06-01
37.5,-123.125,0.27,2020-06-01
37.5,-122.5,0.15,2020-06-01
37.5,-121.875,0.08,2020-06-01
37.5,-121.25,0.02,2020-06-01
37.5,-120.625,0.02,2020-06-01
37.5,-120.0,0.05,2020-06-01
38.0,-124.375,0.11,2020-06-01
38.0,-123.75,0.02,2020-06-01
38.0,-123.125,0.07,2020-06-01
38.0,-122.5,0.05,2020-06-01
38.0,-121.875,0.0,2020-06-01
38.0,-121.25,0.01,2020-06-01
38.0,-120.625,0.03,2020-06-01
38.0,-120.0,0.04,2020-06-01
38.5,-124.375,0.01,2020-06-01
38.5,-123.75,0.0,2020-06-01
38.5,-123.125,0.0,2020-06-01
38.5,-122.5,0.0,2020-06-01
38.5,-121.875,0.0,2020-06-01
38.5,-121.25,0.03,2020-06-01
38.5,-120.625,0.12,2020-06-01
38.5,-120.0,0.19,2020-06-01
39.0,-124.375,0.01,2020-06-01
39.0,-123.75,0.03,2020-06-01
39.0,-123.125,0.02,2020-06-01
39.0,-122.5,0.01,2020-06-01
39.0,-121.875,0.01,2020-06-01
39.0,-121.25,0.07,2020-06-01
39.0,-120.625,0.26,2020-06-01
39.0,-120.0,0.33,2020-06-01
39.5,-124.375,0.02,2020-06-01
39.5,-123.75,0.17,2020-06-01
39.5,-123.125,0.15,2020-06-01
39.5,-122.5,0.08,2020-06-01
39.5,-121.875,0.04,2020-06-01
39.5,-121.25,0.11,2020-06-01
39.5,-120.625,0.29,2020-06-01
39.5,-120.0,0.41,2020-06-01
40.0,-124.375,0.06,2020-06-01
40.0,-123.75,0.41,2020-06-01
40.0,-123.125,0.35,2020-06-01
40.0,-122.5,0.15,2020-06-01
40.0,-121.875,0.24,2020-06-01
40.0,-121.25,0.38,2020-06-01
40.0,-120.625,0.33,2020-06-01
40.0,-120.0,0.38,2020-06-01
40.5,-124.375,0.08,2020-06-01
40.5,-123.75,0.71,2020-06-01
40.5,-123.125,0.8,2020-06-01
40.5,-122.5,0.82,2020-06-01
40.5,-121.875,0.93,2020-06-01
40.5,-121.25,0.72,2020-06-01
40.5,-120.625,0.5,2020-06-01
40.5,-120.0,0.38,2020-06-01
41.0,-124.375,0.07,2020-06-01
41.0,-123.75,0.86,2020-06-01
41.0,-123.125,1.35,2020-06-01
41.0,-122.5,0.73,2020-06-01
41.0,-121.875,0.87,2020-06-01
41.0,-121.25,0.67,2020-06-01
41.0,-120.625,0.66,2020-06-01
41.0,-120.0,0.68,2020-06-01
41.5,-124.375,0.06,2020-06-01
41.5,-123.75,0.74,2020-06-01
41.5,-123.125,1.41,2020-06-01
41.5,-122.5,0.66,2020-06-01
41.5,-121.875,0.7,2020-06-01
41.5,-121.25,0.29,2020-06-01
41.5,-120.625,0.73,2020-06-01
41.5,-120.0,1.09,2020-06-01
42.0,-124.375,0.03,2020-06-01
42.0,-123.75,0.39,2020-06-01
42.0,-123.125,0.89,2020-06-01
42.0,-122.5,0.65,2020-06-01
42.0,-121.875,0.47,2020-06-01
42.0,-121.25,0.34,2020-06-01
42.0,-120.625,0.75,2020-06-01
42.0,-120.0,1.03,2020-06-01
32.5,-119.375,0.0,2020-06-01
32.5,-118.75,0.0,2020-06-01
32.5,-118.125,0.0,2020-06-01
32.5,-117.5,0.0,2020-06-01
32.5,-116.875,0.0,2020-06-01
32.5,-116.25,0.0,2020-06-01
32.5,-115.625,0.0,2020-06-01
