LAT,LON,WS10M,DATE
32.5,-119.375,8.51,2020-06-01
32.5,-118.75,8.09,2020-06-01
32.5,-118.125,6.53,2020-06-01
32.5,-117.5,5.13,2020-06-01
32.5,-116.875,3.49,2020-06-01
32.5,-116.25,2.7,2020-06-01
32.5,-115.625,3.41,2020-06-01
32.5,-115.0,2.07,2020-06-01
32.5,-114.375,3.53,2020-06-01
33.0,-119.375,8.88,2020-06-01
33.0,-118.75,7.73,2020-06-01
33.0,-118.125,5.64,2020-06-01
33.0,-117.5,4.35,2020-06-01
33.0,-116.875,3.45,2020-06-01
33.0,-116.25,3.61,2020-06-01
33.0,-115.625,3.43,2020-06-01
33.0,-115.0,2.66,2020-06-01
33.0,-114.375,3.67,2020-06-01
33.5,-119.375,8.41,2020-06-01
33.5,-118.75,5.87,2020-06-01
33.5,-118.125,4.03,2020-06-01
33.5,-117.5,2.45,2020-06-01
33.5,-116.875,1.98,2020-06-01
33.5,-116.25,3.21,2020-06-01
33.5,-115.625,3.21,2020-06-01
33.5,-115.0,3.35,2020-06-01
33.5,-114.375,3.88,2020-06-01
34.0,-119.375,4.61,2020-06-01
34.0,-118.75,2.95,2020-06-01
34.0,-118.125,2.72,2020-06-01
34.0,-117.5,2.4,2020-06-01
34.0,-116.875,2.17,2020-06-01
34.0,-116.25,3.53,2020-06-01
34.0,-115.625,3.47,2020-06-01
34.0,-115.0,3.53,2020-06-01
34.0,-114.375,3.67,2020-06-01
34.5,-119.375,2.13,2020-06-01
34.5,-118.75,2.39,2020-06-01
34.5,-118.125,2.65,2020-06-01
34.5,-117.5,2.58,2020-06-01
34.5,-116.875,3.17,2020-06-01
34.5,-116.25,3.61,2020-06-01
34.5,-115.625,3.54,2020-06-01
34.5,-115.0,3.86,2020-06-01
34.5,-114.375,3.89,2020-06-01
35.0,-119.375,2.07,2020-06-01
35.0,-118.75,2.31,2020-06-01
35.0,-118.125,3.48,2020-06-01
35.0,-117.5,3.75,2020-06-01
35.0,-116.875,4.0,2020-06-01
35.0,-116.25,2.99,2020-06-01
35.0,-115.625,3.28,2020-06-01
35.0,-115.0,4.23,2020-06-01
35.0,-114.375,4.11,2020-06-01
35.5,-119.375,2.59,2020-06-01
35.5,-118.75,2.27,2020-06-01
35.5,-118.125,4.03,2020-06-01
35.5,-117.5,4.18,2020-06-01
35.5,-116.875,4.56,2020-06-01
35.5,-116.25,3.6,2020-06-01
35.5,-115.625,3.98,2020-06-01
35.5,-115.0,4.48,2020-06-01
35.5,-114.375,4.37,2020-06-01
36.0,-119.375,2.18,2020-06-01
36.0,-118.75,2.25,2020-06-01
36.0,-118.125,3.38,2020-06-01
36.0,-117.5,3.93,2020-06-01
36.0,-116.875,3.79,2020-06-01
36.0,-116.25,3.95,2020-06-01
36.0,-115.625,3.98,2020-06-01
36.0,-115.0,4.25,2020-06-01
36.0,-114.375,4.23,2020-06-01
36.5,-119.375,1.46,2020-06-01
36.5,-118.75,1.73,2020-06-01
36.5,-118.125,3.47,2020-06-01
36.5,-117.5,3.31,2020-06-01
36.5,-116.875,3.82,2020-06-01
36.5,-116.25,4.43,2020-06-01
36.5,-115.625,4.55,2020-06-01
36.5,-115.0,4.09,2020-06-01
36.5,-114.375,4.34,2020-06-01
37.0,-119.375,1.32,2020-06-01
37.0,-118.75,2.73,2020-06-01
37.0,-118.125,2.92,2020-06-01
37.0,-117.5,2.87,2020-06-01
37.0,-116.875,4.39,2020-06-01
37.0,-116.25,4.71,2020-06-01
37.0,-115.625,4.47,2020-06-01
37.0,-115.0,4.11,2020-06-01
37.0,-114.375,4.19,2020-06-01
37.5,-119.375,1.56,2020-06-01
37.5,-118.75,4.01,2020-06-01
37.5,-118.125,2.86,2020-06-01
37.5,-117.5,3.74,2020-06-01
37.5,-116.875,5.4,2020-06-01
37.5,-116.25,5.43,2020-06-01
37.5,-115.625,4.92,2020-06-01
37.5,-115.0,4.85,2020-06-01
37.5,-114.375,5.33,2020-06-01
38.0,-119.375,2.4,2020-06-01
38.0,-118.75,3.7,2020-06-01
38.0,-118.125,2.72,2020-06-01
38.0,-117.5,3.4,2020-06-01
38.0,-116.875,4.65,2020-06-01
38.0,-116.25,5.38,2020-06-01
38.0,-115.625,5.31,2020-06-01
38.0,-115.0,5.43,2020-06-01
38.0,-114.375,6.08,2020-06-01
38.5,-119.375,2.62,2020-06-01
38.5,-118.75,2.1,2020-06-01
38.5,-118.125,2.68,2020-06-01
38.5,-117.5,3.38,2020-06-01
38.5,-116.875,4.65,2020-06-01
38.5,-116.25,5.35,2020-06-01
38.5,-115.625,5.37,2020-06-01
38.5,-115.0,5.68,2020-06-01
38.5,-114.375,6.24,2020-06-01
39.0,-119.375,2.17,2020-06-01
39.0,-118.75,2.22,2020-06-01
39.0,-118.125,2.24,2020-06-01
39.0,-117.5,2.76,2020-06-01
39.0,-116.875,4.03,2020-06-01
39.0,-116.25,5.26,2020-06-01
39.0,-115.625,5.69,2020-06-01
39.0,-115.0,6.07,2020-06-01
39.0,-114.375,6.08,2020-06-01
39.5,-119.375,2.58,2020-06-01
39.5,-118.75,2.58,2020-06-01
39.5,-118.125,2.05,2020-06-01
39.5,-117.5,2.12,2020-06-01
39.5,-116.875,2.69,2020-06-01
39.5,-116.25,4.13,2020-06-01
39.5,-115.625,5.53,2020-06-01
39.5,-115.0,6.04,2020-06-01
39.5,-114.375,5.85,2020-06-01
40.0,-119.375,2.38,2020-06-01
40.0,-118.75,2.56,2020-06-01
40.0,-118.125,2.24,2020-06-01
40.0,-117.5,2.32,2020-06-01
40.0,-116.875,2.59,2020-06-01
40.0,-116.25,2.84,2020-06-01
40.0,-115.625,4.1,2020-06-01
40.0,-115.0,5.52,2020-06-01
40.0,-114.375,5.87,2020-06-01
40.5,-119.375,2.37,2020-06-01
40.5,-118.75,2.48,2020-06-01
40.5,-118.125,2.37,2020-06-01
40.5,-117.5,2.2,2020-06-01
40.5,-116.875,2.42,2020-06-01
40.5,-116.25,2.71,2020-06-01
40.5,-115.625,2.89,2020-06-01
40.5,-115.0,4.16,2020-06-01
40.5,-114.375,5.17,2020-06-01
41.0,-119.375,2.42,2020-06-01
41.0,-118.75,2.16,2020-06-01
41.0,-118.125,2.33,2020-06-01
41.0,-117.5,2.33,2020-06-01
41.0,-116.875,2.46,2020-06-01
41.0,-116.25,2.64,2020-06-01
41.0,-115.625,2.55,2020-06-01
41.0,-115.0,2.82,2020-06-01
41.0,-114.375,3.36,2020-06-01
41.5,-119.375,2.87,2020-06-01
41.5,-118.75,2.29,2020-06-01
41.5,-118.125,2.34,2020-06-01
41.5,-117.5,2.55,2020-06-01
41.5,-116.875,2.47,2020-06-01
41.5,-116.25,2.21,2020-06-01
41.5,-115.625,2.26,2020-06-01
41.5,-115.0,2.68,2020-06-01
41.5,-114.375,3.12,2020-06-01
42.0,-119.375,3.24,2020-06-01
42.0,-118.75,2.77,2020-06-01
42.0,-118.125,2.93,2020-06-01
42.0,-117.5,2.79,2020-06-01
42.0,-116.875,2.59,2020-06-01
42.0,-116.25,2.62,2020-06-01
42.0,-115.625,2.29,2020-06-01
42.0,-115.0,2.4,2020-06-01
42.0,-114.375,2.89,2020-06-01
32.5,-124.375,5.07,2020-06-01
32.5,-123.75,5.44,2020-06-01
32.5,-123.125,6.01,2020-06-01
32.5,-122.5,6.69,2020-06-01
32.5,-121.875,7.33,2020-06-01
32.5,-121.25,7.72,2020-06-01
32.5,-120.625,8.13,2020-06-01
32.5,-120.0,8.56,2020-06-01
33.0,-124.375,5.4,2020-06-01
33.0,-123.75,5.65,2020-06-01
33.0,-123.125,6.11,2020-06-01
33.0,-122.5,6.7,2020-06-01
33.0,-121.875,7.32,2020-06-01
33.0,-121.25,7.76,2020-06-01
33.0,-120.625,8.3,2020-06-01
33.0,-120.0,8.85,2020-06-01
33.5,-124.375,5.72,2020-06-01
33.5,-123.75,5.88,2020-06-01
33.5,-123.125,6.21,2020-06-01
33.5,-122.5,6.69,2020-06-01
33.5,-121.875,7.31,2020-06-01
33.5,-121.25,7.84,2020-06-01
33.5,-120.625,8.48,2020-06-01
33.5,-120.0,9.3,2020-06-01
34.0,-124.375,5.99,2020-06-01
34.0,-123.75,6.06,2020-06-01
34.0,-123.125,6.3,2020-06-01
34.0,-122.5,6.67,2020-06-01
34.0,-121.875,7.27,2020-06-01
34.0,-121.25,7.71,2020-06-01
34.0,-120.625,8.21,2020-06-01
34.0,-120.0,7.65,2020-06-01
34.5,-124.375,6.16,2020-06-01
34.5,-123.75,6.14,2020-06-01
34.5,-123.125,6.34,2020-06-01
34.5,-122.5,6.69,2020-06-01
34.5,-121.875,7.22,2020-06-01
34.5,-121.25,7.28,2020-06-01
34.5,-120.625,6.51,2020-06-01
34.5,-120.0,4.48,2020-06-01
35.0,-124.375,6.28,2020-06-01
35.0,-123.75,6.21,2020-06-01
35.0,-123.125,6.42,2020-06-01
35.0,-122.5,6.82,2020-06-01
35.0,-121.875,7.31,2020-06-01
35.0,-121.25,6.26,2020-06-01
35.0,-120.625,3.72,2020-06-01
35.0,-120.0,2.28,2020-06-01
35.5,-124.375,6.48,2020-06-01
35.5,-123.75,6.36,2020-06-01
35.5,-123.125,6.56,2020-06-01
35.5,-122.5,6.91,2020-06-01
35.5,-121.875,7.0,2020-06-01
35.5,-121.25,4.34,2020-06-01
35.5,-120.625,2.74,2020-06-01
35.5,-120.0,2.71,2020-06-01
36.0,-124.375,6.74,2020-06-01
36.0,-123.75,6.53,2020-06-01
36.0,-123.125,6.61,2020-06-01
36.0,-122.5,6.37,2020-06-01
36.0,-121.875,5.3,2020-06-01
36.0,-121.25,2.6,2020-06-01
36.0,-120.625,2.08,2020-06-01
36.0,-120.0,2.09,2020-06-01
36.5,-124.375,7.01,2020-06-01
36.5,-123.75,6.74,2020-06-01
36.5,-123.125,6.47,2020-06-01
36.5,-122.5,5.92,2020-06-01
36.5,-121.875,3.64,2020-06-01
36.5,-121.25,2.29,2020-06-01
36.5,-120.625,2.58,2020-06-01
36.5,-120.0,2.09,2020-06-01
37.0,-124.375,7.16,2020-06-01
37.0,-123.75,6.84,2020-06-01
37.0,-123.125,6.33,2020-06-01
37.0,-122.5,5.22,2020-06-01
37.0,-121.875,2.45,2020-06-01
37.0,-121.25,2.77,2020-06-01
37.0,-120.625,3.38,2020-06-01
37.0,-120.0,2.02,2020-06-01
37.5,-124.375,7.28,2020-06-01
37.5,-123.75,6.62,2020-06-01
37.5,-123.125,5.77,2020-06-01
37.5,-122.5,4.03,2020-06-01
