-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 07/01/2021 through 07/31/2021 in UTC
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PS     MERRA-2 Surface Pressure (kPa) 
-END HEADER-
LAT,LON,YEAR,DOY,PS
32.5,-124.375,2021,182,101.59
32.5,-123.75,2021,182,101.55
32.5,-123.125,2021,182,101.51
32.5,-122.5,2021,182,101.46
32.5,-121.875,2021,182,101.43
32.5,-121.25,2021,182,101.38
32.5,-120.625,2021,182,101.35
32.5,-120.0,2021,182,101.32
33.0,-124.375,2021,182,101.58
33.0,-123.75,2021,182,101.54
33.0,-123.125,2021,182,101.5
33.0,-122.5,2021,182,101.46
33.0,-121.875,2021,182,101.43
33.0,-121.25,2021,182,101.38
33.0,-120.625,2021,182,101.35
33.0,-120.0,2021,182,101.32
33.5,-124.375,2021,182,101.58
33.5,-123.75,2021,182,101.54
33.5,-123.125,2021,182,101.5
33.5,-122.5,2021,182,101.46
33.5,-121.875,2021,182,101.42
33.5,-121.25,2021,182,101.37
33.5,-120.625,2021,182,101.32
33.5,-120.0,2021,182,101.28
34.0,-124.375,2021,182,101.57
34.0,-123.75,2021,182,101.53
34.0,-123.125,2021,182,101.49
34.0,-122.5,2021,182,101.45
34.0,-121.875,2021,182,101.41
34.0,-121.25,2021,182,101.36
34.0,-120.625,2021,182,101.21
34.0,-120.0,2021,182,100.75
34.5,-124.375,2021,182,101.56
34.5,-123.75,2021,182,101.51
34.5,-123.125,2021,182,101.47
34.5,-122.5,2021,182,101.44
34.5,-121.875,2021,182,101.4
34.5,-121.25,2021,182,101.34
34.5,-120.625,2021,182,100.48
34.5,-120.0,2021,182,97.66
35.0,-124.375,2021,182,101.55
35.0,-123.75,2021,182,101.5
35.0,-123.125,2021,182,101.46
35.0,-122.5,2021,182,101.42
35.0,-121.875,2021,182,101.37
35.0,-121.25,2021,182,101.23
35.0,-120.625,2021,182,99.07
35.0,-120.0,2021,182,94.14
35.5,-124.375,2021,182,101.54
35.5,-123.75,2021,182,101.49
35.5,-123.125,2021,182,101.45
35.5,-122.5,2021,182,101.41
35.5,-121.875,2021,182,101.31
35.5,-121.25,2021,182,100.31
35.5,-120.625,2021,182,97.44
35.5,-120.0,2021,182,96.62
36.0,-124.375,2021,182,101.53
36.0,-123.75,2021,182,101.48
36.0,-123.125,2021,182,101.44
36.0,-122.5,2021,182,101.4
36.0,-121.875,2021,182,100.24
36.0,-121.25,2021,182,96.82
36.0,-120.625,2021,182,96.33
36.0,-120.0,2021,182,98.46
36.5,-124.375,2021,182,101.51
36.5,-123.75,2021,182,101.46
36.5,-123.125,2021,182,101.41
36.5,-122.5,2021,182,101.38
36.5,-121.875,2021,182,99.93
36.5,-121.25,2021,182,95.72
36.5,-120.625,2021,182,96.19
36.5,-120.0,2021,182,99.32
37.0,-124.375,2021,182,101.48
37.0,-123.75,2021,182,101.42
37.0,-123.125,2021,182,101.38
37.0,-122.5,2021,182,100.79
37.0,-121.875,2021,182,98.81
37.0,-121.25,2021,182,97.32
37.0,-120.625,2021,182,99.06
37.0,-120.0,2021,182,98.7
37.5,-124.375,2021,182,101.45
37.5,-123.75,2021,182,101.37
37.5,-123.125,2021,182,101.29
37.5,-122.5,2021,182,100.51
37.5,-121.875,2021,182,98.5
37.5,-121.25,2021,182,98.15
37.5,-120.625,2021,182,99.07
37.5,-120.0,2021,182,92.33
38.0,-124.375,2021,182,101.4
38.0,-123.75,2021,182,101.32
38.0,-123.125,2021,182,100.95
38.0,-122.5,2021,182,100.18
38.0,-121.875,2021,182,99.91
38.0,-121.25,2021,182,99.95
38.0,-120.625,2021,182,95.71
38.0,-120.0,2021,182,84.8
38.5,-124.375,2021,182,101.35
38.5,-123.75,2021,182,100.82
38.5,-123.125,2021,182,99.11
38.5,-122.5,2021,182,97.98
38.5,-121.875,2021,182,100.19
38.5,-121.25,2021,182,99.6
38.5,-120.625,2021,182,91.29
38.5,-120.0,2021,182,80.66
39.0,-124.375,2021,182,101.3
39.0,-123.75,2021,182,99.5
39.0,-123.125,2021,182,95.43
39.0,-122.5,2021,182,96.22
39.0,-121.875,2021,182,100.22
39.0,-121.25,2021,182,97.61
39.0,-120.625,2021,182,87.5
39.0,-120.0,2021,182,81.01
39.5,-124.375,2021,182,101.18
39.5,-123.75,2021,182,98.32
39.5,-123.125,2021,182,91.6
39.5,-122.5,2021,182,96.25
39.5,-121.875,2021,182,99.61
39.5,-121.25,2021,182,92.99
39.5,-120.625,2021,182,84.27
39.5,-120.0,2021,182,82.34
40.0,-124.375,2021,182,100.56
40.0,-123.75,2021,182,95.82
40.0,-123.125,2021,182,89.53
40.0,-122.5,2021,182,96.26
40.0,-121.875,2021,182,95.65
40.0,-121.25,2021,182,86.47
40.0,-120.625,2021,182,83.82
40.0,-120.0,2021,182,84.41
40.5,-124.375,2021,182,99.79
40.5,-123.75,2021,182,93.65
40.5,-123.125,2021,182,89.75
40.5,-122.5,2021,182,95.64
