-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 08/01/2021 through 08/31/2021 in UTC
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
RH2M     MERRA-2 Relative Humidity at 2 Meters (%) 
-END HEADER-
LAT,LON,YEAR,DOY,RH2M
32.5,-124.375,2021,213,79.45
32.5,-123.75,2021,213,81.68
32.5,-123.125,2021,213,83.56
32.5,-122.5,2021,213,85.94
32.5,-121.875,2021,213,88.18
32.5,-121.25,2021,213,91.03
32.5,-120.625,2021,213,92.73
32.5,-120.0,2021,213,93.97
33.0,-124.375,2021,213,80.58
33.0,-123.75,2021,213,82.32
33.0,-123.125,2021,213,83.22
33.0,-122.5,2021,213,85.4
33.0,-121.875,2021,213,88.59
33.0,-121.25,2021,213,91.7
33.0,-120.625,2021,213,93.15
33.0,-120.0,2021,213,94.1
33.5,-124.375,2021,213,82.0
33.5,-123.75,2021,213,83.36
33.5,-123.125,2021,213,84.22
33.5,-122.5,2021,213,86.11
33.5,-121.875,2021,213,89.83
33.5,-121.25,2021,213,92.53
33.5,-120.625,2021,213,93.7
33.5,-120.0,2021,213,92.61
34.0,-124.375,2021,213,85.13
34.0,-123.75,2021,213,84.92
34.0,-123.125,2021,213,86.32
34.0,-122.5,2021,213,88.55
34.0,-121.875,2021,213,91.38
34.0,-121.25,2021,213,93.27
34.0,-120.625,2021,213,92.61
34.0,-120.0,2021,213,81.66
34.5,-124.375,2021,213,86.23
34.5,-123.75,2021,213,85.22
34.5,-123.125,2021,213,87.58
34.5,-122.5,2021,213,90.05
34.5,-121.875,2021,213,92.13
34.5,-121.25,2021,213,94.31
34.5,-120.625,2021,213,80.23
34.5,-120.0,2021,213,51.78
35.0,-124.375,2021,213,88.68
35.0,-123.75,2021,213,87.11
35.0,-123.125,2021,213,88.44
35.0,-122.5,2021,213,91.21
35.0,-121.875,2021,213,93.26
35.0,-121.25,2021,213,93.95
35.0,-120.625,2021,213,68.13
35.0,-120.0,2021,213,28.12
35.5,-124.375,2021,213,90.51
35.5,-123.75,2021,213,91.64
35.5,-123.125,2021,213,92.31
35.5,-122.5,2021,213,93.01
35.5,-121.875,2021,213,93.87
35.5,-121.25,2021,213,86.04
35.5,-120.625,2021,213,61.89
35.5,-120.0,2021,213,32.88
36.0,-124.375,2021,213,92.24
36.0,-123.75,2021,213,93.6
36.0,-123.125,2021,213,94.2
36.0,-122.5,2021,213,94.32
36.0,-121.875,2021,213,89.69
36.0,-121.25,2021,213,55.61
36.0,-120.625,2021,213,35.42
36.0,-120.0,2021,213,26.4
36.5,-124.375,2021,213,94.24
36.5,-123.75,2021,213,94.68
36.5,-123.125,2021,213,94.66
36.5,-122.5,2021,213,95.08
36.5,-121.875,2021,213,85.48
36.5,-121.25,2021,213,40.48
36.5,-120.625,2021,213,22.19
36.5,-120.0,2021,213,20.46
37.0,-124.375,2021,213,94.04
37.0,-123.75,2021,213,95.08
37.0,-123.125,2021,213,96.49
37.0,-122.5,2021,213,92.64
37.0,-121.875,2021,213,71.55
37.0,-121.25,2021,213,43.14
37.0,-120.625,2021,213,30.46
37.0,-120.0,2021,213,23.87
37.5,-124.375,2021,213,96.75
37.5,-123.75,2021,213,96.63
37.5,-123.125,2021,213,96.78
37.5,-122.5,2021,213,87.19
37.5,-121.875,2021,213,60.64
37.5,-121.25,2021,213,36.94
37.5,-120.625,2021,213,27.09
37.5,-120.0,2021,213,32.23
38.0,-124.375,2021,213,98.15
38.0,-123.75,2021,213,97.96
38.0,-123.125,2021,213,91.08
38.0,-122.5,2021,213,75.82
38.0,-121.875,2021,213,60.83
38.0,-121.25,2021,213,41.29
38.0,-120.625,2021,213,27.32
38.0,-120.0,2021,213,40.57
38.5,-124.375,2021,213,98.07
38.5,-123.75,2021,213,93.95
38.5,-123.125,2021,213,73.36
38.5,-122.5,2021,213,47.22
38.5,-121.875,2021,213,43.43
38.5,-121.25,2021,213,35.46
38.5,-120.625,2021,213,27.18
38.5,-120.0,2021,213,44.23
39.0,-124.375,2021,213,97.59
39.0,-123.75,2021,213,75.72
39.0,-123.125,2021,213,34.19
39.0,-122.5,2021,213,23.07
39.0,-121.875,2021,213,27.39
39.0,-121.25,2021,213,23.71
39.0,-120.625,2021,213,22.76
39.0,-120.0,2021,213,43.79
39.5,-124.375,2021,213,96.74
39.5,-123.75,2021,213,59.29
39.5,-123.125,2021,213,23.19
39.5,-122.5,2021,213,15.17
39.5,-121.875,2021,213,17.86
39.5,-121.25,2021,213,17.04
39.5,-120.625,2021,213,21.58
39.5,-120.0,2021,213,44.08
40.0,-124.375,2021,213,87.46
40.0,-123.75,2021,213,44.71
40.0,-123.125,2021,213,20.41
40.0,-122.5,2021,213,12.82
40.0,-121.875,2021,213,13.27
40.0,-121.25,2021,213,17.28
40.0,-120.625,2021,213,27.64
40.0,-120.0,2021,213,48.73
40.5,-124.375,2021,213,79.89
40.5,-123.75,2021,213,33.62
40.5,-123.125,2021,213,20.88
40.5,-122.5,2021,213,13.57
40.5,-121.875,2021,213,14.3
40.5,-121.25,2021,213,23.37
40.5,-120.625,2021,213,37.87
40.5,-120.0,2021,213,51.13
41.0,-124.375,2021,213,86.84
41.0,-123.75,2021,213,37.41
41.0,-123.125,2021,213,24.08
41.0,-122.5,2021,213,18.84
41.0,-121.875,2021,213,16.93
