-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 06/01/2022 through 06/30/2022 in UTC
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
WS10M     MERRA-2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
LAT,LON,YEAR,DOY,WS10M
32.5,-124.375,2022,152,9.86
32.5,-123.75,2022,152,10.34
32.5,-123.125,2022,152,10.54
32.5,-122.5,2022,152,10.53
32.5,-121.875,2022,152,10.4
32.5,-121.25,2022,152,9.81
32.5,-120.625,2022,152,8.9
32.5,-120.0,2022,152,7.16
33.0,-124.375,2022,152,10.09
33.0,-123.75,2022,152,10.53
33.0,-123.125,2022,152,10.75
33.0,-122.5,2022,152,10.73
33.0,-121.875,2022,152,10.52
33.0,-121.25,2022,152,9.97
33.0,-120.625,2022,152,8.84
33.0,-120.0,2022,152,6.97
33.5,-124.375,2022,152,10.21
33.5,-123.75,2022,152,10.66
33.5,-123.125,2022,152,10.91
33.5,-122.5,2022,152,10.8
33.5,-121.875,2022,152,10.45
33.5,-121.25,2022,152,9.9
33.5,-120.625,2022,152,8.73
33.5,-120.0,2022,152,6.69
34.0,-124.375,2022,152,10.22
34.0,-123.75,2022,152,10.69
34.0,-123.125,2022,152,10.98
34.0,-122.5,2022,152,10.97
34.0,-121.875,2022,152,10.54
34.0,-121.25,2022,152,9.74
34.0,-120.625,2022,152,7.93
34.0,-120.0,2022,152,4.56
34.5,-124.375,2022,152,10.05
34.5,-123.75,2022,152,10.47
34.5,-123.125,2022,152,10.69
34.5,-122.5,2022,152,10.68
34.5,-121.875,2022,152,10.4
34.5,-121.25,2022,152,9.35
34.5,-120.625,2022,152,6.22
34.5,-120.0,2022,152,3.95
35.0,-124.375,2022,152,10.1
35.0,-123.75,2022,152,10.33
35.0,-123.125,2022,152,10.3
35.0,-122.5,2022,152,10.14
35.0,-121.875,2022,152,10.05
35.0,-121.25,2022,152,8.09
35.0,-120.625,2022,152,3.99
35.0,-120.0,2022,152,2.84
35.5,-124.375,2022,152,10.2
35.5,-123.75,2022,152,10.36
35.5,-123.125,2022,152,10.06
35.5,-122.5,2022,152,9.58
35.5,-121.875,2022,152,8.9
35.5,-121.25,2022,152,4.84
35.5,-120.625,2022,152,2.67
35.5,-120.0,2022,152,2.01
36.0,-124.375,2022,152,9.8
36.0,-123.75,2022,152,10.08
36.0,-123.125,2022,152,9.76
36.0,-122.5,2022,152,8.28
36.0,-121.875,2022,152,5.81
36.0,-121.25,2022,152,2.97
36.0,-120.625,2022,152,2.33
36.0,-120.0,2022,152,2.32
36.5,-124.375,2022,152,9.39
36.5,-123.75,2022,152,9.69
36.5,-123.125,2022,152,9.29
36.5,-122.5,2022,152,7.26
36.5,-121.875,2022,152,3.2
36.5,-121.25,2022,152,2.46
36.5,-120.625,2022,152,3.03
36.5,-120.0,2022,152,2.67
37.0,-124.375,2022,152,9.38
37.0,-123.75,2022,152,9.57
37.0,-123.125,2022,152,8.65
37.0,-122.5,2022,152,5.83
37.0,-121.875,2022,152,2.38
37.0,-121.25,2022,152,2.82
37.0,-120.625,2022,152,3.01
37.0,-120.0,2022,152,2.44
37.5,-124.375,2022,152,9.25
37.5,-123.75,2022,152,9.68
