LAT,LON,YEAR,DOY,PRECTOTCORR
32.5,-124.375,2021,182,0.04
32.5,-123.75,2021,182,0.03
32.5,-123.125,2021,182,0.05
32.5,-122.5,2021,182,0.07
32.5,-121.875,2021,182,0.09
32.5,-121.25,2021,182,0.08
32.5,-120.625,2021,182,0.07
32.5,-120.0,2021,182,0.06
33.0,-124.375,2021,182,0.02
33.0,-123.75,2021,182,0.02
33.0,-123.125,2021,182,0.02
33.0,-122.5,2021,182,0.03
33.0,-121.875,2021,182,0.04
33.0,-121.25,2021,182,0.04
33.0,-120.625,2021,182,0.04
33.0,-120.0,2021,182,0.03
33.5,-124.375,2021,182,0.01
33.5,-123.75,2021,182,0.01
33.5,-123.125,2021,182,0.02
33.5,-122.5,2021,182,0.03
33.5,-121.875,2021,182,0.03
33.5,-121.25,2021,182,0.03
33.5,-120.625,2021,182,0.03
33.5,-120.0,2021,182,0.02
34.0,-124.375,2021,182,0.01
34.0,-123.75,2021,182,0.01
34.0,-123.125,2021,182,0.02
34.0,-122.5,2021,182,0.03
34.0,-121.875,2021,182,0.03
34.0,-121.25,2021,182,0.04
34.0,-120.625,2021,182,0.04
34.0,-120.0,2021,182,0.02
34.5,-124.375,2021,182,0.01
34.5,-123.75,2021,182,0.01
34.5,-123.125,2021,182,0.02
34.5,-122.5,2021,182,0.03
34.5,-121.875,2021,182,0.03
34.5,-121.25,2021,182,0.03
34.5,-120.625,2021,182,0.03
34.5,-120.0,2021,182,0.01
35.0,-124.375,2021,182,0.01
35.0,-123.75,2021,182,0.01
35.0,-123.125,2021,182,0.01
35.0,-122.5,2021,182,0.02
35.0,-121.875,2021,182,0.03
35.0,-121.25,2021,182,0.02
35.0,-120.625,2021,182,0.01
35.0,-120.0,2021,182,0.0
35.5,-124.375,2021,182,0.02
35.5,-123.75,2021,182,0.01
35.5,-123.125,2021,182,0.01
35.5,-122.5,2021,182,0.02
35.5,-121.875,2021,182,0.02
35.5,-121.25,2021,182,0.01
35.5,-120.625,2021,182,0.0
35.5,-120.0,2021,182,0.0
36.0,-124.375,2021,182,0.02
36.0,-123.75,2021,182,0.01
36.0,-123.125,2021,182,0.01
36.0,-122.5,2021,182,0.02
36.0,-121.875,2021,182,0.02
36.0,-121.25,2021,182,0.01
36.0,-120.625,2021,182,0.0
36.0,-120.0,2021,182,0.0
36.5,-124.375,2021,182,0.02
36.5,-123.75,2021,182,0.01
36.5,-123.125,2021,182,0.02
36.5,-122.5,2021,182,0.02
36.5,-121.875,2021,182,0.03
36.5,-121.25,2021,182,0.01
36.5,-120.625,2021,182,0.0
36.5,-120.0,2021,182,0.02
37.0,-124.375,2021,182,0.02
37.0,-123.75,2021,182,0.01
37.0,-123.125,2021,182,0.03
37.0,-122.5,2021,182,0.04
37.0,-121.875,2021,182,0.04
37.0,-121.25,2021,182,0.0
37.0,-120.625,2021,182,0.0
37.0,-120.0,2021,182,0.14
37.5,-124.375,2021,182,0.02
37.5,-123.75,2021,182,0.01
37.5,-123.125,2021,182,0.04
37.5,-122.5,2021,182,0.03
37.5,-121.875,2021,182,0.02
37.5,-121.25,2021,182,0.0
37.5,-120.625,2021,182,0.01
37.5,-120.0,2021,182,1.01
38.0,-124.375,2021,182,0.01
38.0,-123.75,2021,182,0.0
38.0,-123.125,2021,182,0.01
38.0,-122.5,2021,182,0.02
38.0,-121.875,2021,182,0.03
38.0,-121.25,2021,182,0.0
38.0,-120.625,2021,182,0.06
38.0,-120.0,2021,182,2.17
38.5,-124.375,2021,182,0.0
38.5,-123.75,2021,182,0.0
38.5,-123.125,2021,182,0.0
38.5,-122.5,2021,182,0.0
38.5,-121.875,2021,182,0.0
38.5,-121.25,2021,182,0.02
38.5,-120.625,2021,182,0.17
38.5,-120.0,2021,182,1.89
39.0,-124.375,2021,182,0.0
39.0,-123.75,2021,182,0.0
39.0,-123.125,2021,182,0.0
39.0,-122.5,2021,182,0.0
39.0,-121.875,2021,182,0.0
39.0,-121.25,2021,182,0.04
39.0,-120.625,2021,182,0.3
39.0,-120.0,2021,182,1.31
39.5,-124.375,2021,182,0.0
39.5,-123.75,2021,182,0.0
39.5,-123.125,2021,182,0.0
39.5,-122.5,2021,182,0.0
39.5,-121.875,2021,182,0.0
39.5,-121.25,2021,182,0.02
39.5,-120.625,2021,182,0.35
39.5,-120.0,2021,182,1.16
40.0,-124.375,2021,182,0.0
40.0,-123.75,2021,182,0.0
40.0,-123.125,2021,182,0.0
40.0,-122.5,2021,182,0.0
40.0,-121.875,2021,182,0.0
40.0,-121.25,2021,182,0.01
40.0,-120.625,2021,182,0.2
40.0,-120.0,2021,182,0.67
40.5,-124.375,2021,182,0.01
40.5,-123.75,2021,182,0.0
40.5,-123.125,2021,182,0.0
40.5,-122.5,2021,182,0.0
40.5,-121.875,2021,182,0.0
40.5,-121.25,2021,182,0.0
40.5,-120.625,2021,182,0.04
40.5,-120.0,2021,182,0.07
41.0,-124.375,2021,182,0.01
41.0,-123.75,2021,182,0.0
41.0,-123.125,2021,182,0.0
41.0,-122.5,2021,182,0.0
41.0,-121.875,2021,182,0.0
41.0,-121.25,2021,182,0.0
41.0,-120.625,2021,182,0.0
41.0,-120.0,2021,182,0.01
41.5,-124.375,2021,182,0.0
41.5,-123.75,2021,182,0.0
41.5,-123.125,2021,182,0.0
41.5,-122.5,2021,182,0.0
41.5,-121.875,2021,182,0.0
41.5,-121.25,2021,182,0.0
41.5,-120.625,2021,182,0.0
41.5,-120.0,2021,182,0.0
42.0,-124.375,2021,182,0.0
42.0,-123.75,2021,182,0.0
42.0,-123.125,2021,182,0.0
42.0,-122.5,2021,182,0.0
42.0,-121.875,2021,182,0.0
42.0,-121.25,2021,182,0.0
42.0,-120.625,2021,182,0.0
42.0,-120.0,2021,182,0.0
32.5,-124.375,2021,183,0.08
32.5,-123.75,2021,183,0.07
32.5,-123.125,2021,183,0.11
32.5,-122.5,2021,183,0.15
32.5,-121.875,2021,183,0.14
32.5,-121.25,2021,183,0.08
32.5,-120.625,2021,183,0.04
32.5,-120.0,2021,183,0.01
33.0,-124.375,2021,183,0.03
33.0,-123.75,2021,183,0.03
33.0,-123.125,2021,183,0.05
33.0,-122.5,2021,183,0.08
33.0,-121.875,2021,183,0.08
33.0,-121.25,2021,183,0.06
33.0,-120.625,2021,183,0.02
33.0,-120.0,2021,183,0.01
33.5,-124.375,2021,183,0.02
33.5,-123.75,2021,183,0.02
33.5,-123.125,2021,183,0.04
33.5,-122.5,2021,183,0.09
33.5,-121.875,2021,183,0.09
33.5,-121.25,2021,183,0.07
33.5,-120.625,2021,183,0.03
33.5,-120.0,2021,183,0.01
34.0,-124.375,2021,183,0.02
34.0,-123.75,2021,183,0.02
34.0,-123.125,2021,183,0.04
34.0,-122.5,2021,183,0.11
34.0,-121.875,2021,183,0.13
34.0,-121.25,2021,183,0.08
34.0,-120.625,2021,183,0.04
34.0,-120.0,2021,183,0.01
34.5,-124.375,2021,183,0.02
34.5,-123.75,2021,183,0.02
34.5,-123.125,2021,183,0.03
34.5,-122.5,2021,183,0.11
34.5,-121.875,2021,183,0.09
34.5,-121.25,2021,183,0.07
34.5,-120.625,2021,183,0.03
34.5,-120.0,2021,183,0.0
35.0,-124.375,2021,183,0.02
35.0,-123.75,2021,183,0.02
35.0,-123.125,2021,183,0.02
35.0,-122.5,2021,183,0.06
35.0,-121.875,2021,183,0.06
35.0,-121.25,2021,183,0.03
35.0,-120.625,2021,183,0.01
35.0,-120.0,2021,183,0.0
35.5,-124.375,2021,183,0.02
35.5,-123.75,2021,183,0.01
35.5,-123.125,2021,183,0.01
35.5,-122.5,2021,183,0.03
35.5,-121.875,2021,183,0.04
35.5,-121.25,2021,183,0.02
35.5,-120.625,2021,183,0.0
35.5,-120.0,2021,183,0.0
36.0,-124.375,2021,183,0.02
36.0,-123.75,2021,183,0.01
36.0,-123.125,2021,183,0.01
36.0,-122.5,2021,183,0.03
36.0,-121.875,2021,183,0.03
36.0,-121.25,2021,183,0.02
36.0,-120.625,2021,183,0.0
36.0,-120.0,2021,183,0.0
36.5,-124.375,2021,183,0.01
36.5,-123.75,2021,183,0.01
36.5,-123.125,2021,183,0.02
36.5,-122.5,2021,183,0.03
36.5,-121.875,2021,183,0.04
36.5,-121.25,2021,183,0.02
36.5,-120.625,2021,183,0.0
36.5,-120.0,2021,183,0.06
37.0,-124.375,2021,183,0.01
37.0,-123.75,2021,183,0.01
37.0,-123.125,2021,183,0.03
37.0,-122.5,2021,183,0.04
37.0,-121.875,2021,183,0.03
37.0,-121.25,2021,183,0.01
37.0,-120.625,2021,183,0.0
37.0,-120.0,2021,183,0.13
37.5,-124.375,2021,183,0.01
37.5,-123.75,2021,183,0.01
37.5,-123.125,2021,183,0.02
37.5,-122.5,2021,183,0.02
37.5,-121.875,2021,183,0.02
37.5,-121.25,2021,183,0.0
37.5,-120.625,2021,183,0.0
37.5,-120.0,2021,183,0.19
38.0,-124.375,2021,183,0.0
38.0,-123.75,2021,183,0.0
38.0,-123.125,2021,183,0.01
38.0,-122.5,2021,183,0.01
38.0,-121.875,2021,183,0.01
38.0,-121.25,2021,183,0.0
38.0,-120.625,2021,183,0.02
38.0,-120.0,2021,183,0.17
38.5,-124.375,2021,183,0.0
38.5,-123.75,2021,183,0.0
38.5,-123.125,2021,183,0.0
38.5,-122.5,2021,183,0.0
38.5,-121.875,2021,183,0.0
38.5,-121.25,2021,183,0.0
38.5,-120.625,2021,183,0.06
38.5,-120.0,2021,183,0.21
39.0,-124.375,2021,183,0.0
39.0,-123.75,2021,183,0.0
39.0,-123.125,2021,183,0.0
39.0,-122.5,2021,183,0.0
39.0,-121.875,2021,183,0.0
39.0,-121.25,2021,183,0.0
39.0,-120.625,2021,183,0.06
39.0,-120.0,2021,183,0.24
39.5,-124.375,2021,183,0.0
39.5,-123.75,2021,183,0.0
39.5,-123.125,2021,183,0.0
39.5,-122.5,2021,183,0.0
39.5,-121.875,2021,183,0.0
39.5,-121.25,2021,183,0.01
39.5,-120.625,2021,183,0.04
39.5,-120.0,2021,183,0.1
40.0,-124.375,2021,183,0.0
40.0,-123.75,2021,183,0.0
40.0,-123.125,2021,183,0.0
40.0,-122.5,2021,183,0.0
40.0,-121.875,2021,183,0.0
40.0,-121.25,2021,183,0.02
40.0,-120.625,2021,183,0.04
40.0,-120.0,2021,183,0.09
40.5,-124.375,2021,183,0.0
40.5,-123.75,2021,183,0.0
40.5,-123.125,2021,183,0.0
40.5,-122.5,2021,183,0.04
40.5,-121.875,2021,183,0.05
40.5,-121.25,2021,183,0.05
40.5,-120.625,2021,183,0.1
40.5,-120.0,2021,183,0.17
41.0,-124.375,2021,183,0.0
41.0,-123.75,2021,183,0.0
41.0,-123.125,2021,183,0.0
41.0,-122.5,2021,183,0.03
41.0,-121.875,2021,183,0.01
41.0,-121.25,2021,183,0.05
41.0,-120.625,2021,183,0.16
41.0,-120.0,2021,183,0.4
41.5,-124.375,2021,183,0.0
41.5,-123.75,2021,183,0.0
41.5,-123.125,2021,183,0.0
41.5,-122.5,2021,183,0.0
41.5,-121.875,2021,183,0.01
41.5,-121.25,2021,183,0.01
41.5,-120.625,2021,183,0.07
41.5,-120.0,2021,183,0.21
42.0,-124.375,2021,183,0.0
42.0,-123.75,2021,183,0.0
42.0,-123.125,2021,183,0.0
42.0,-122.5,2021,183,0.0
42.0,-121.875,2021,183,0.0
42.0,-121.25,2021,183,0.0
42.0,-120.625,2021,183,0.01
42.0,-120.0,2021,183,0.03
32.5,-124.375,2021,184,0.04
32.5,-123.75,2021,184,0.04
32.5,-123.125,2021,184,0.05
32.5,-122.5,2021,184,0.05
32.5,-121.875,2021,184,0.04
32.5,-121.25,2021,184,0.03
32.5,-120.625,2021,184,0.04
32.5,-120.0,2021,184,0.03
33.0,-124.375,2021,184,0.03
33.0,-123.75,2021,184,0.03
33.0,-123.125,2021,184,0.04
33.0,-122.5,2021,184,0.06
33.0,-121.875,2021,184,0.05
33.0,-121.25,2021,184,0.03
33.0,-120.625,2021,184,0.02
33.0,-120.0,2021,184,0.01
33.5,-124.375,2021,184,0.03
33.5,-123.75,2021,184,0.03
33.5,-123.125,2021,184,0.05
33.5,-122.5,2021,184,0.07
33.5,-121.875,2021,184,0.07
33.5,-121.25,2021,184,0.05
33.5,-120.625,2021,184,0.03
33.5,-120.0,2021,184,0.01
34.0,-124.375,2021,184,0.03
34.0,-123.75,2021,184,0.03
34.0,-123.125,2021,184,0.05
34.0,-122.5,2021,184,0.08
34.0,-121.875,2021,184,0.09
34.0,-121.25,2021,184,0.06
34.0,-120.625,2021,184,0.04
34.0,-120.0,2021,184,0.01
34.5,-124.375,2021,184,0.03
34.5,-123.75,2021,184,0.03
34.5,-123.125,2021,184,0.04
34.5,-122.5,2021,184,0.08
34.5,-121.875,2021,184,0.07
34.5,-121.25,2021,184,0.05
34.5,-120.625,2021,184,0.03
34.5,-120.0,2021,184,0.01
35.0,-124.375,2021,184,0.03
35.0,-123.75,2021,184,0.02
35.0,-123.125,2021,184,0.03
35.0,-122.5,2021,184,0.05
35.0,-121.875,2021,184,0.05
35.0,-121.25,2021,184,0.03
35.0,-120.625,2021,184,0.01
35.0,-120.0,2021,184,0.0
35.5,-124.375,2021,184,0.02
35.5,-123.75,2021,184,0.01
