LAT,LON,YEAR,DOY,PS
32.5,-124.375,2023,152,101.87
32.5,-123.75,2023,152,101.81
32.5,-123.125,2023,152,101.75
32.5,-122.5,2023,152,101.68
32.5,-121.875,2023,152,101.62
32.5,-121.25,2023,152,101.55
32.5,-120.625,2023,152,101.49
32.5,-120.0,2023,152,101.43
33.0,-124.375,2023,152,101.86
33.0,-123.75,2023,152,101.79
33.0,-123.125,2023,152,101.73
33.0,-122.5,2023,152,101.66
33.0,-121.875,2023,152,101.59
33.0,-121.25,2023,152,101.52
33.0,-120.625,2023,152,101.46
33.0,-120.0,2023,152,101.41
33.5,-124.375,2023,152,101.85
33.5,-123.75,2023,152,101.77
33.5,-123.125,2023,152,101.7
33.5,-122.5,2023,152,101.63
33.5,-121.875,2023,152,101.56
33.5,-121.25,2023,152,101.49
33.5,-120.625,2023,152,101.4
33.5,-120.0,2023,152,101.33
34.0,-124.375,2023,152,101.83
34.0,-123.75,2023,152,101.75
34.0,-123.125,2023,152,101.67
34.0,-122.5,2023,152,101.6
34.0,-121.875,2023,152,101.52
34.0,-121.25,2023,152,101.46
34.0,-120.625,2023,152,101.27
34.0,-120.0,2023,152,100.77
34.5,-124.375,2023,152,101.81
34.5,-123.75,2023,152,101.73
34.5,-123.125,2023,152,101.64
34.5,-122.5,2023,152,101.57
34.5,-121.875,2023,152,101.49
34.5,-121.25,2023,152,101.42
34.5,-120.625,2023,152,100.53
34.5,-120.0,2023,152,97.58
35.0,-124.375,2023,152,101.78
35.0,-123.75,2023,152,101.69
35.0,-123.125,2023,152,101.61
35.0,-122.5,2023,152,101.52
35.0,-121.875,2023,152,101.43
35.0,-121.25,2023,152,101.26
35.0,-120.625,2023,152,99.07
35.0,-120.0,2023,152,94.04
35.5,-124.375,2023,152,101.75
35.5,-123.75,2023,152,101.66
35.5,-123.125,2023,152,101.56
35.5,-122.5,2023,152,101.48
35.5,-121.875,2023,152,101.35
35.5,-121.25,2023,152,100.31
35.5,-120.625,2023,152,97.39
35.5,-120.0,2023,152,96.57
36.0,-124.375,2023,152,101.71
36.0,-123.75,2023,152,101.61
36.0,-123.125,2023,152,101.52
36.0,-122.5,2023,152,101.44
36.0,-121.875,2023,152,100.25
36.0,-121.25,2023,152,96.78
36.0,-120.625,2023,152,96.23
36.0,-120.0,2023,152,98.4
36.5,-124.375,2023,152,101.66
36.5,-123.75,2023,152,101.55
36.5,-123.125,2023,152,101.45
36.5,-122.5,2023,152,101.38
36.5,-121.875,2023,152,99.92
36.5,-121.25,2023,152,95.66
36.5,-120.625,2023,152,96.12
36.5,-120.0,2023,152,99.32
37.0,-124.375,2023,152,101.6
37.0,-123.75,2023,152,101.47
37.0,-123.125,2023,152,101.37
37.0,-122.5,2023,152,100.74
37.0,-121.875,2023,152,98.75
37.0,-121.25,2023,152,97.27
37.0,-120.625,2023,152,99.06
37.0,-120.0,2023,152,98.72
37.5,-124.375,2023,152,101.54
37.5,-123.75,2023,152,101.38
37.5,-123.125,2023,152,101.22
37.5,-122.5,2023,152,100.41
37.5,-121.875,2023,152,98.41
37.5,-121.25,2023,152,98.1
37.5,-120.625,2023,152,99.06
37.5,-120.0,2023,152,92.12
38.0,-124.375,2023,152,101.49
38.0,-123.75,2023,152,101.31
38.0,-123.125,2023,152,100.85
38.0,-122.5,2023,152,100.07
38.0,-121.875,2023,152,99.86
38.0,-121.25,2023,152,99.9
38.0,-120.625,2023,152,95.6
38.0,-120.0,2023,152,84.39
38.5,-124.375,2023,152,101.45
38.5,-123.75,2023,152,100.81
38.5,-123.125,2023,152,99.01
38.5,-122.5,2023,152,97.9
38.5,-121.875,2023,152,100.19
38.5,-121.25,2023,152,99.56
38.5,-120.625,2023,152,91.06
38.5,-120.0,2023,152,80.13
39.0,-124.375,2023,152,101.42
39.0,-123.75,2023,152,99.51
39.0,-123.125,2023,152,95.35
39.0,-122.5,2023,152,96.18
39.0,-121.875,2023,152,100.29
39.0,-121.25,2023,152,97.56
39.0,-120.625,2023,152,87.19
39.0,-120.0,2023,152,80.5
39.5,-124.375,2023,152,101.31
39.5,-123.75,2023,152,98.34
39.5,-123.125,2023,152,91.45
39.5,-122.5,2023,152,96.22
39.5,-121.875,2023,152,99.67
39.5,-121.25,2023,152,92.84
39.5,-120.625,2023,152,83.86
39.5,-120.0,2023,152,81.87
40.0,-124.375,2023,152,100.69
40.0,-123.75,2023,152,95.84
40.0,-123.125,2023,152,89.38
40.0,-122.5,2023,152,96.2
40.0,-121.875,2023,152,95.62
40.0,-121.25,2023,152,86.13
40.0,-120.625,2023,152,83.41
40.0,-120.0,2023,152,84.01
40.5,-124.375,2023,152,99.94
40.5,-123.75,2023,152,93.66
40.5,-123.125,2023,152,89.65
40.5,-122.5,2023,152,95.63
40.5,-121.875,2023,152,91.42
40.5,-121.25,2023,152,82.61
40.5,-120.625,2023,152,83.41
40.5,-120.0,2023,152,85.03
41.0,-124.375,2023,152,100.75
41.0,-123.75,2023,152,94.03
41.0,-123.125,2023,152,87.57
41.0,-122.5,2023,152,89.22
41.0,-121.875,2023,152,89.28
41.0,-121.25,2023,152,85.68
41.0,-120.625,2023,152,82.58
41.0,-120.0,2023,152,82.21
41.5,-124.375,2023,152,100.67
41.5,-123.75,2023,152,93.43
41.5,-123.125,2023,152,87.87
41.5,-122.5,2023,152,86.53
41.5,-121.875,2023,152,84.74
41.5,-121.25,2023,152,85.19
41.5,-120.625,2023,152,83.87
41.5,-120.0,2023,152,82.29
42.0,-124.375,2023,152,99.84
42.0,-123.75,2023,152,93.2
42.0,-123.125,2023,152,89.01
42.0,-122.5,2023,152,87.74
42.0,-121.875,2023,152,85.71
42.0,-121.25,2023,152,85.47
42.0,-120.625,2023,152,83.48
42.0,-120.0,2023,152,82.73
32.5,-124.375,2023,153,102.02
32.5,-123.75,2023,153,101.97
32.5,-123.125,2023,153,101.92
32.5,-122.5,2023,153,101.86
32.5,-121.875,2023,153,101.81
32.5,-121.25,2023,153,101.74
32.5,-120.625,2023,153,101.69
32.5,-120.0,2023,153,101.64
33.0,-124.375,2023,153,102.01
33.0,-123.75,2023,153,101.95
33.0,-123.125,2023,153,101.9
33.0,-122.5,2023,153,101.83
33.0,-121.875,2023,153,101.78
33.0,-121.25,2023,153,101.72
33.0,-120.625,2023,153,101.66
33.0,-120.0,2023,153,101.61
33.5,-124.375,2023,153,102.0
33.5,-123.75,2023,153,101.94
33.5,-123.125,2023,153,101.88
33.5,-122.5,2023,153,101.82
33.5,-121.875,2023,153,101.75
33.5,-121.25,2023,153,101.69
33.5,-120.625,2023,153,101.61
33.5,-120.0,2023,153,101.53
34.0,-124.375,2023,153,101.99
34.0,-123.75,2023,153,101.92
34.0,-123.125,2023,153,101.85
34.0,-122.5,2023,153,101.78
34.0,-121.875,2023,153,101.72
34.0,-121.25,2023,153,101.65
34.0,-120.625,2023,153,101.48
34.0,-120.0,2023,153,100.97
34.5,-124.375,2023,153,101.97
34.5,-123.75,2023,153,101.9
34.5,-123.125,2023,153,101.83
34.5,-122.5,2023,153,101.76
34.5,-121.875,2023,153,101.69
34.5,-121.25,2023,153,101.62
34.5,-120.625,2023,153,100.73
34.5,-120.0,2023,153,97.79
35.0,-124.375,2023,153,101.95
35.0,-123.75,2023,153,101.88
35.0,-123.125,2023,153,101.8
35.0,-122.5,2023,153,101.72
35.0,-121.875,2023,153,101.64
35.0,-121.25,2023,153,101.47
35.0,-120.625,2023,153,99.27
35.0,-120.0,2023,153,94.25
35.5,-124.375,2023,153,101.93
35.5,-123.75,2023,153,101.85
35.5,-123.125,2023,153,101.77
35.5,-122.5,2023,153,101.69
35.5,-121.875,2023,153,101.57
35.5,-121.25,2023,153,100.53
35.5,-120.625,2023,153,97.59
35.5,-120.0,2023,153,96.8
36.0,-124.375,2023,153,101.9
36.0,-123.75,2023,153,101.82
36.0,-123.125,2023,153,101.74
36.0,-122.5,2023,153,101.66
36.0,-121.875,2023,153,100.47
36.0,-121.25,2023,153,96.99
36.0,-120.625,2023,153,96.46
36.0,-120.0,2023,153,98.64
36.5,-124.375,2023,153,101.87
36.5,-123.75,2023,153,101.77
36.5,-123.125,2023,153,101.69
36.5,-122.5,2023,153,101.62
36.5,-121.875,2023,153,100.15
36.5,-121.25,2023,153,95.89
36.5,-120.625,2023,153,96.36
36.5,-120.0,2023,153,99.58
37.0,-124.375,2023,153,101.83
37.0,-123.75,2023,153,101.71
37.0,-123.125,2023,153,101.63
37.0,-122.5,2023,153,101.0
37.0,-121.875,2023,153,99.0
37.0,-121.25,2023,153,97.5
37.0,-120.625,2023,153,99.31
37.0,-120.0,2023,153,98.97
37.5,-124.375,2023,153,101.78
37.5,-123.75,2023,153,101.65
37.5,-123.125,2023,153,101.5
37.5,-122.5,2023,153,100.68
37.5,-121.875,2023,153,98.67
37.5,-121.25,2023,153,98.35
37.5,-120.625,2023,153,99.31
37.5,-120.0,2023,153,92.36
38.0,-124.375,2023,153,101.74
38.0,-123.75,2023,153,101.58
38.0,-123.125,2023,153,101.14
38.0,-122.5,2023,153,100.35
38.0,-121.875,2023,153,100.13
38.0,-121.25,2023,153,100.17
38.0,-120.625,2023,153,95.85
38.0,-120.0,2023,153,84.65
38.5,-124.375,2023,153,101.71
38.5,-123.75,2023,153,101.09
38.5,-123.125,2023,153,99.29
38.5,-122.5,2023,153,98.16
38.5,-121.875,2023,153,100.45
38.5,-121.25,2023,153,99.81
38.5,-120.625,2023,153,91.32
38.5,-120.0,2023,153,80.4
39.0,-124.375,2023,153,101.68
39.0,-123.75,2023,153,99.8
39.0,-123.125,2023,153,95.65
39.0,-122.5,2023,153,96.46
39.0,-121.875,2023,153,100.56
39.0,-121.25,2023,153,97.81
39.0,-120.625,2023,153,87.46
39.0,-120.0,2023,153,80.78
39.5,-124.375,2023,153,101.56
39.5,-123.75,2023,153,98.63
39.5,-123.125,2023,153,91.75
39.5,-122.5,2023,153,96.52
39.5,-121.875,2023,153,99.95
39.5,-121.25,2023,153,93.09
39.5,-120.625,2023,153,84.14
39.5,-120.0,2023,153,82.18
40.0,-124.375,2023,153,100.95
40.0,-123.75,2023,153,96.12
40.0,-123.125,2023,153,89.68
40.0,-122.5,2023,153,96.49
40.0,-121.875,2023,153,95.9
40.0,-121.25,2023,153,86.4
40.0,-120.625,2023,153,83.72
40.0,-120.0,2023,153,84.33
40.5,-124.375,2023,153,100.18
40.5,-123.75,2023,153,93.93
40.5,-123.125,2023,153,89.94
40.5,-122.5,2023,153,95.95
40.5,-121.875,2023,153,91.69
40.5,-121.25,2023,153,82.92
40.5,-120.625,2023,153,83.72
40.5,-120.0,2023,153,85.38
41.0,-124.375,2023,153,100.97
41.0,-123.75,2023,153,94.29
41.0,-123.125,2023,153,87.85
41.0,-122.5,2023,153,89.48
41.0,-121.875,2023,153,89.56
41.0,-121.25,2023,153,85.98
41.0,-120.625,2023,153,82.9
41.0,-120.0,2023,153,82.54
41.5,-124.375,2023,153,100.85
41.5,-123.75,2023,153,93.65
41.5,-123.125,2023,153,88.1
41.5,-122.5,2023,153,86.8
41.5,-121.875,2023,153,85.03
41.5,-121.25,2023,153,85.51
41.5,-120.625,2023,153,84.21
41.5,-120.0,2023,153,82.64
42.0,-124.375,2023,153,99.99
42.0,-123.75,2023,153,93.38
42.0,-123.125,2023,153,89.22
42.0,-122.5,2023,153,87.98
42.0,-121.875,2023,153,85.97
42.0,-121.25,2023,153,85.76
42.0,-120.625,2023,153,83.79
42.0,-120.0,2023,153,83.09
32.5,-124.375,2023,154,101.96
32.5,-123.75,2023,154,101.9
32.5,-123.125,2023,154,101.83
32.5,-122.5,2023,154,101.76
32.5,-121.875,2023,154,101.71
32.5,-121.25,2023,154,101.64
32.5,-120.625,2023,154,101.58
32.5,-120.0,2023,154,101.54
33.0,-124.375,2023,154,101.95
33.0,-123.75,2023,154,101.87
33.0,-123.125,2023,154,101.8
33.0,-122.5,2023,154,101.73
33.0,-121.875,2023,154,101.67
33.0,-121.25,2023,154,101.6
33.0,-120.625,2023,154,101.55
33.0,-120.0,2023,154,101.52
33.5,-124.375,2023,154,101.93
33.5,-123.75,2023,154,101.85
33.5,-123.125,2023,154,101.77
33.5,-122.5,2023,154,101.7
33.5,-121.875,2023,154,101.63
33.5,-121.25,2023,154,101.57
33.5,-120.625,2023,154,101.49
33.5,-120.0,2023,154,101.42
34.0,-124.375,2023,154,101.91
34.0,-123.75,2023,154,101.83
34.0,-123.125,2023,154,101.75
34.0,-122.5,2023,154,101.67
34.0,-121.875,2023,154,101.6
34.0,-121.25,2023,154,101.53
34.0,-120.625,2023,154,101.35
34.0,-120.0,2023,154,100.85
34.5,-124.375,2023,154,101.9
