LAT,LON,YEAR,DOY,RH2M
32.5,-119.375,2022,182,91.14
32.5,-118.75,2022,182,90.02
32.5,-118.125,2022,182,88.02
32.5,-117.5,2022,182,82.59
32.5,-116.875,2022,182,51.93
32.5,-116.25,2022,182,24.13
32.5,-115.625,2022,182,14.44
32.5,-115.0,2022,182,16.67
32.5,-114.375,2022,182,25.84
33.0,-119.375,2022,182,90.79
33.0,-118.75,2022,182,88.73
33.0,-118.125,2022,182,84.7
33.0,-117.5,2022,182,72.8
33.0,-116.875,2022,182,41.05
33.0,-116.25,2022,182,21.19
33.0,-115.625,2022,182,20.47
33.0,-115.0,2022,182,18.71
33.0,-114.375,2022,182,21.2
33.5,-119.375,2022,182,90.7
33.5,-118.75,2022,182,91.71
33.5,-118.125,2022,182,75.07
33.5,-117.5,2022,182,55.74
33.5,-116.875,2022,182,31.54
33.5,-116.25,2022,182,20.26
33.5,-115.625,2022,182,20.43
33.5,-115.0,2022,182,17.73
33.5,-114.375,2022,182,18.46
34.0,-119.375,2022,182,74.83
34.0,-118.75,2022,182,70.96
34.0,-118.125,2022,182,46.59
34.0,-117.5,2022,182,36.28
34.0,-116.875,2022,182,26.4
34.0,-116.25,2022,182,19.13
34.0,-115.625,2022,182,17.55
34.0,-115.0,2022,182,15.87
34.0,-114.375,2022,182,16.46
34.5,-119.375,2022,182,26.55
34.5,-118.75,2022,182,24.68
34.5,-118.125,2022,182,24.07
34.5,-117.5,2022,182,23.58
34.5,-116.875,2022,182,21.39
34.5,-116.25,2022,182,17.41
34.5,-115.625,2022,182,16.13
34.5,-115.0,2022,182,16.21
34.5,-114.375,2022,182,16.78
35.0,-119.375,2022,182,18.37
35.0,-118.75,2022,182,17.9
35.0,-118.125,2022,182,16.66
35.0,-117.5,2022,182,15.91
35.0,-116.875,2022,182,16.03
35.0,-116.25,2022,182,15.48
35.0,-115.625,2022,182,17.85
35.0,-115.0,2022,182,16.86
35.0,-114.375,2022,182,17.96
35.5,-119.375,2022,182,20.66
35.5,-118.75,2022,182,18.43
35.5,-118.125,2022,182,15.62
35.5,-117.5,2022,182,12.8
35.5,-116.875,2022,182,12.77
35.5,-116.25,2022,182,12.62
