LAT,LON,YEAR,DOY,T2M
32.5,-119.375,2021,244,18.37
32.5,-118.75,2021,244,19.09
32.5,-118.125,2021,244,19.6
32.5,-117.5,2021,244,19.61
32.5,-116.875,2021,244,19.1
32.5,-116.25,2021,244,22.79
32.5,-115.625,2021,244,32.1
32.5,-115.0,2021,244,32.86
32.5,-114.375,2021,244,31.38
33.0,-119.375,2021,244,18.38
33.0,-118.75,2021,244,18.91
33.0,-118.125,2021,244,19.65
33.0,-117.5,2021,244,19.75
33.0,-116.875,2021,244,19.74
33.0,-116.25,2021,244,26.23
33.0,-115.625,2021,244,32.13
33.0,-115.0,2021,244,31.83
33.0,-114.375,2021,244,31.89
33.5,-119.375,2021,244,18.43
33.5,-118.75,2021,244,18.87
33.5,-118.125,2021,244,20.0
33.5,-117.5,2021,244,19.95
33.5,-116.875,2021,244,20.78
33.5,-116.25,2021,244,29.13
33.5,-115.625,2021,244,30.77
33.5,-115.0,2021,244,31.64
33.5,-114.375,2021,244,31.64
34.0,-119.375,2021,244,18.87
34.0,-118.75,2021,244,18.95
34.0,-118.125,2021,244,20.03
34.0,-117.5,2021,244,21.0
34.0,-116.875,2021,244,21.92
34.0,-116.25,2021,244,26.44
34.0,-115.625,2021,244,30.4
34.0,-115.0,2021,244,31.92
34.0,-114.375,2021,244,32.13
34.5,-119.375,2021,244,19.74
34.5,-118.75,2021,244,22.1
34.5,-118.125,2021,244,21.98
34.5,-117.5,2021,244,22.73
34.5,-116.875,2021,244,24.17
34.5,-116.25,2021,244,28.2
34.5,-115.625,2021,244,30.91
34.5,-115.0,2021,244,30.26
34.5,-114.375,2021,244,30.72
35.0,-119.375,2021,244,24.35
35.0,-118.75,2021,244,24.37
35.0,-118.125,2021,244,24.07
35.0,-117.5,2021,244,25.28
35.0,-116.875,2021,244,26.28
35.0,-116.25,2021,244,28.69
35.0,-115.625,2021,244,26.58
35.0,-115.0,2021,244,27.73
35.0,-114.375,2021,244,28.48
35.5,-119.375,2021,244,26.04
35.5,-118.75,2021,244,22.65
35.5,-118.125,2021,244,22.31
35.5,-117.5,2021,244,26.89
35.5,-116.875,2021,244,26.91
35.5,-116.25,2021,244,27.77
35.5,-115.625,2021,244,25.66
35.5,-115.0,2021,244,26.52
35.5,-114.375,2021,244,27.13
36.0,-119.375,2021,244,25.92
36.0,-118.75,2021,244,21.31
36.0,-118.125,2021,244,20.42
36.0,-117.5,2021,244,26.48
36.0,-116.875,2021,244,28.08
36.0,-116.25,2021,244,27.36
36.0,-115.625,2021,244,24.66
36.0,-115.0,2021,244,29.8
36.0,-114.375,2021,244,27.78
36.5,-119.375,2021,244,26.75
36.5,-118.75,2021,244,19.6
36.5,-118.125,2021,244,19.23
36.5,-117.5,2021,244,27.6
36.5,-116.875,2021,244,28.19
36.5,-116.25,2021,244,26.37
36.5,-115.625,2021,244,22.94
36.5,-115.0,2021,244,25.38
36.5,-114.375,2021,244,26.98
37.0,-119.375,2021,244,23.1
37.0,-118.75,2021,244,15.27
37.0,-118.125,2021,244,21.17
37.0,-117.5,2021,244,25.88
37.0,-116.875,2021,244,24.68
37.0,-116.25,2021,244,23.55
37.0,-115.625,2021,244,23.76
37.0,-115.0,2021,244,23.82
37.0,-114.375,2021,244,24.73
37.5,-119.375,2021,244,17.29
37.5,-118.75,2021,244,16.16
37.5,-118.125,2021,244,22.37
37.5,-117.5,2021,244,23.63
37.5,-116.875,2021,244,22.82
37.5,-116.25,2021,244,21.68
37.5,-115.625,2021,244,22.0
37.5,-115.0,2021,244,22.44
37.5,-114.375,2021,244,20.52
38.0,-119.375,2021,244,14.71
38.0,-118.75,2021,244,19.85
38.0,-118.125,2021,244,22.65
38.0,-117.5,2021,244,23.5
38.0,-116.875,2021,244,22.0
38.0,-116.25,2021,244,22.02
