LAT,LON,YEAR,DOY,WS10M
32.5,-119.375,2023,213,5.92
32.5,-118.75,2023,213,3.39
32.5,-118.125,2023,213,1.99
32.5,-117.5,2023,213,2.71
32.5,-116.875,2023,213,2.84
32.5,-116.25,2023,213,3.03
32.5,-115.625,2023,213,2.22
32.5,-115.0,2023,213,3.2
32.5,-114.375,2023,213,3.59
33.0,-119.375,2023,213,5.41
33.0,-118.75,2023,213,3.03
33.0,-118.125,2023,213,2.06
33.0,-117.5,2023,213,2.54
33.0,-116.875,2023,213,2.88
33.0,-116.25,2023,213,3.12
33.0,-115.625,2023,213,2.71
33.0,-115.0,2023,213,3.53
33.0,-114.375,2023,213,3.76
33.5,-119.375,2023,213,4.41
33.5,-118.75,2023,213,2.09
33.5,-118.125,2023,213,2.28
33.5,-117.5,2023,213,2.76
33.5,-116.875,2023,213,2.08
33.5,-116.25,2023,213,1.85
33.5,-115.625,2023,213,3.28
33.5,-115.0,2023,213,3.69
33.5,-114.375,2023,213,3.98
34.0,-119.375,2023,213,1.67
34.0,-118.75,2023,213,2.07
34.0,-118.125,2023,213,2.5
34.0,-117.5,2023,213,2.18
34.0,-116.875,2023,213,2.02
34.0,-116.25,2023,213,2.21
34.0,-115.625,2023,213,2.81
34.0,-115.0,2023,213,3.23
34.0,-114.375,2023,213,3.65
34.5,-119.375,2023,213,1.94
34.5,-118.75,2023,213,2.43
34.5,-118.125,2023,213,3.39
34.5,-117.5,2023,213,3.56
34.5,-116.875,2023,213,3.41
34.5,-116.25,2023,213,2.87
34.5,-115.625,2023,213,2.47
34.5,-115.0,2023,213,3.1
34.5,-114.375,2023,213,3.4
35.0,-119.375,2023,213,2.24
35.0,-118.75,2023,213,2.44
35.0,-118.125,2023,213,3.83
35.0,-117.5,2023,213,5.22
35.0,-116.875,2023,213,4.42
35.0,-116.25,2023,213,2.63
35.0,-115.625,2023,213,2.45
35.0,-115.0,2023,213,3.27
35.0,-114.375,2023,213,3.3
35.5,-119.375,2023,213,2.87
35.5,-118.75,2023,213,2.92
35.5,-118.125,2023,213,4.23
35.5,-117.5,2023,213,4.69
35.5,-116.875,2023,213,4.35
35.5,-116.25,2023,213,2.95
35.5,-115.625,2023,213,2.74
35.5,-115.0,2023,213,2.91
35.5,-114.375,2023,213,3.35
36.0,-119.375,2023,213,2.56
36.0,-118.75,2023,213,2.64
36.0,-118.125,2023,213,3.2
36.0,-117.5,2023,213,2.8
36.0,-116.875,2023,213,2.85
36.0,-116.25,2023,213,3.13
36.0,-115.625,2023,213,2.23
36.0,-115.0,2023,213,2.14
36.0,-114.375,2023,213,3.03
36.5,-119.375,2023,213,2.2
36.5,-118.75,2023,213,1.85
36.5,-118.125,2023,213,2.61
36.5,-117.5,2023,213,2.34
36.5,-116.875,2023,213,3.83
36.5,-116.25,2023,213,4.01
36.5,-115.625,2023,213,2.85
36.5,-115.0,2023,213,2.49
36.5,-114.375,2023,213,2.48
37.0,-119.375,2023,213,2.19
37.0,-118.75,2023,213,2.13
37.0,-118.125,2023,213,2.43
37.0,-117.5,2023,213,2.9
37.0,-116.875,2023,213,4.46
37.0,-116.25,2023,213,4.47
37.0,-115.625,2023,213,2.68
37.0,-115.0,2023,213,2.89
37.0,-114.375,2023,213,3.08
37.5,-119.375,2023,213,2.25
37.5,-118.75,2023,213,2.6
37.5,-118.125,2023,213,2.87
37.5,-117.5,2023,213,3.93
37.5,-116.875,2023,213,4.84
37.5,-116.25,2023,213,4.23
37.5,-115.625,2023,213,2.77
37.5,-115.0,2023,213,3.32
37.5,-114.375,2023,213,3.96
38.0,-119.375,2023,213,2.73
38.0,-118.75,2023,213,2.17
38.0,-118.125,2023,213,3.05
38.0,-117.5,2023,213,3.64
38.0,-116.875,2023,213,4.01
38.0,-116.25,2023,213,3.87
38.0,-115.625,2023,213,3.45
